time;inc_acu;inc_dia;inc_mm7
1/22/20;0;;
1/23/20;0;0;
1/24/20;0;0;
1/25/20;0;0;
1/26/20;0;0;
1/27/20;0;0;
1/28/20;0;0;
1/29/20;0;0;
1/30/20;0;0;0
1/31/20;0;0;0
02/01/2020;0;0;0
02/02/2020;0;0;0
02/03/2020;0;0;0
02/04/2020;0;0;0
02/05/2020;0;0;0
02/06/2020;0;0;0
02/07/2020;0;0;0
02/08/2020;0;0;0
02/09/2020;0;0;0
02/10/2020;0;0;0
02/11/2020;0;0;0
02/12/2020;0;0;0
2/13/20;0;0;0
2/14/20;0;0;0
2/15/20;0;0;0
2/16/20;0;0;0
2/17/20;0;0;0
2/18/20;0;0;0
2/19/20;0;0;0
2/20/20;0;0;0
2/21/20;0;0;0
2/22/20;0;0;0
2/23/20;0;0;0
2/24/20;0;0;0
2/25/20;0;0;0
2/26/20;1;1;0
2/27/20;1;0;0.142857143
2/28/20;1;0;0.142857143
2/29/20;2;1;0.142857143
03/01/2020;2;0;0.285714286
03/02/2020;2;0;0.285714286
03/03/2020;2;0;0.285714286
03/04/2020;4;2;0.285714286
03/05/2020;4;0;0.428571429
03/06/2020;13;9;0.428571429
03/07/2020;13;0;1.714285714
03/08/2020;20;7;1.571428571
03/09/2020;25;5;2.571428571
03/10/2020;31;6;3.285714286
03/11/2020;38;7;4.142857143
03/12/2020;52;14;4.857142857
3/13/20;151;99;6.857142857
3/14/20;151;0;19.71428571
3/15/20;162;11;19.71428571
3/16/20;200;38;20.28571429
3/17/20;321;121;25
3/18/20;372;51;41.42857143
3/19/20;621;249;47.71428571
3/20/20;793;172;81.28571429
3/21/20;1021;228;91.71428571
3/22/20;1546;525;124.2857143
3/23/20;1924;378;197.7142857
3/24/20;2247;323;246.2857143
3/25/20;2554;307;275.1428571
3/26/20;2985;431;311.7142857
3/27/20;3417;432;337.7142857
3/28/20;3904;487;374.8571429
3/29/20;4256;352;411.8571429
3/30/20;4579;323;387.1428571
3/31/20;5717;1138;379.2857143
04/01/2020;6836;1119;495.7142857
04/02/2020;8044;1208;611.7142857
04/03/2020;9056;1012;722.7142857
04/04/2020;10360;1304;805.5714286
04/05/2020;11130;770;922.2857143
04/06/2020;12161;1031;982
04/07/2020;14034;1873;1083.142857
04/08/2020;16170;2136;1188.142857
04/09/2020;18092;1922;1333.428571
04/10/2020;19638;1546;1435.428571
04/11/2020;20727;1089;1511.714286
04/12/2020;22192;1465;1481
4/13/20;23430;1238;1580.285714
4/14/20;25262;1832;1609.857143
4/15/20;28320;3058;1604
4/16/20;30425;2105;1735.714286
4/17/20;33682;3257;1761.857143
4/18/20;36658;2976;2006.285714
4/19/20;38654;1996;2275.857143
4/20/20;40743;2089;2351.714286
4/21/20;43079;2336;2473.285714
4/22/20;45757;2678;2545.285714
4/23/20;50036;4279;2491
4/24/20;54043;4007;2801.571429
4/25/20;59324;5281;2908.714286
4/26/20;63100;3776;3238
4/27/20;67446;4346;3492.285714
4/28/20;73235;5789;3814.714286
4/29/20;79685;6450;4308
4/30/20;87187;7502;4846.857143
05/01/2020;92202;5015;5307.285714
05/02/2020;97100;4898;5451.285714
05/03/2020;101826;4726;5396.571429
05/04/2020;108620;6794;5532.285714
05/05/2020;115455;6835;5882
05/06/2020;126611;11156;6031.428571
05/07/2020;135773;9162;6703.714286
05/08/2020;146894;11121;6940.857143
05/09/2020;156061;9167;7813.142857
05/10/2020;162699;6638;8423
05/11/2020;169594;6895;8696.142857
05/12/2020;178214;8620;8710.571429
5/13/20;190137;11923;8965.571429
5/14/20;203165;13028;9075.142857
5/15/20;220291;17126;9627.428571
5/16/20;233511;13220;10485.28571
5/17/20;241080;7569;11064.28571
5/18/20;255368;14288;11197.28571
5/19/20;271885;16517;12253.42857
5/20/20;291579;19694;13381.57143
5/21/20;310087;18508;14491.71429
5/22/20;330890;20803;15274.57143
5/23/20;347398;16508;15799.85714
5/24/20;363211;15813;16269.57143
5/25/20;374898;11687;17447.28571
5/26/20;391222;16324;17075.71429
5/27/20;411821;20599;17048.14286
5/28/20;438238;26417;17177.42857
5/29/20;465166;26928;18307.28571
5/30/20;498440;33274;19182.28571
5/31/20;514849;16409;21577.42857
06/01/2020;526447;11598;21662.57143
06/02/2020;555383;28936;21649.85714
06/03/2020;584016;28633;23451.57143
06/04/2020;614941;30925;24599.28571
06/05/2020;645771;30830;25243.28571
06/06/2020;672846;27075;25800.71429
06/07/2020;691758;18912;24915.14286
06/08/2020;707412;15654;25272.71429
06/09/2020;739503;32091;25852.14286
06/10/2020;772416;32913;26302.85714
06/11/2020;802828;30412;26914.28571
06/12/2020;828810;25982;26841
6/13/20;850514;21704;26148.42857
6/14/20;867624;17110;25381.14286
6/15/20;888271;20647;25123.71429
6/16/20;923189;34918;25837
6/17/20;955377;32188;26240.85714
6/18/20;978142;22765;26137.28571
6/19/20;1032913;54771;25044.85714
6/20/20;1067579;34666;29157.57143
6/21/20;1083341;15762;31009.28571
6/22/20;1106470;23129;30816.71429
6/23/20;1145906;39436;31171.28571
6/24/20;1188631;42725;31816.71429
6/25/20;1228114;39483;33322
6/26/20;1274974;46860;35710.28571
6/27/20;1313667;38693;34580.14286
6/28/20;1344143;30476;35155.42857
6/29/20;1368195;24052;37257.42857
6/30/20;1402041;33846;37389.28571
07/01/2020;1448753;46712;36590.71429
07/02/2020;1496858;48105;37160.28571
07/03/2020;1539081;42223;38392
07/04/2020;1577004;37923;37729.57143
07/05/2020;1603055;26051;37619.57143
07/06/2020;1623284;20229;36987.42857
07/07/2020;1668589;45305;36441.28571
07/08/2020;1713160;44571;38078.28571
07/09/2020;1755779;42619;37772.42857
07/10/2020;1800827;45048;36988.71429
07/11/2020;1839850;39023;37392.28571
07/12/2020;1864681;24831;37549.42857
7/13/20;1884967;20286;37375.14286
7/14/20;1926824;41857;37383.28571
7/15/20;1966748;39924;36890.71429
7/16/20;2012151;45403;36226.85714
7/17/20;2046328;34177;36624.57143
7/18/20;2074860;28532;35071.57143
7/19/20;2098389;23529;33572.85714
7/20/20;2118646;20257;33386.85714
7/21/20;2159654;41008;33382.71429
7/22/20;2227514;67860;33261.42857
7/23/20;2287475;59961;37252.28571
7/24/20;2343366;55891;39332
7/25/20;2394513;51147;42434
7/26/20;2419091;24578;45664.71429
7/27/20;2442375;23284;45814.57143
7/28/20;2483191;40816;46247
7/29/20;2552265;69074;46219.57143
7/30/20;2610102;57837;46393
7/31/20;2662485;52383;46089.57143
08/01/2020;2707877;45392;45588.42857
08/02/2020;2733677;25800;44766.28571
08/03/2020;2750318;16641;44940.85714
08/04/2020;2801921;51603;43991.85714
08/05/2020;2859073;57152;45532.85714
08/06/2020;2912212;53139;43829.71429
08/07/2020;2962442;50230;43158.57143
08/08/2020;3012412;49970;42851
08/09/2020;3035422;23010;43505
08/10/2020;3057470;22048;43106.42857
08/11/2020;3109630;52160;43878.85714
08/12/2020;3164785;55155;43958.42857
8/13/20;3224876;60091;43673.14286
8/14/20;3275520;50644;44666.28571
8/15/20;3317096;41576;44725.42857
8/16/20;3340197;23101;43526.28571
8/17/20;3359570;19373;43539.28571
8/18/20;3407354;47784;43157.14286
8/19/20;3456652;49298;42532
8/20/20;3501975;45323;41695.28571
8/21/20;3532330;30355;39585.57143
8/22/20;3582362;50032;36687.14286
8/23/20;3605783;23421;37895.14286
8/24/20;3622861;17078;37940.85714
8/25/20;3669995;47134;37613
8/26/20;3717156;47161;37520.14286
8/27/20;3761391;44235;37214.85714
8/28/20;3804803;43412;37059.42857
8/29/20;3846153;41350;38924.71429
8/30/20;3862311;16158;37684.42857
8/31/20;3908272;45961;36646.85714
09/01/2020;3950931;42659;40773
09/02/2020;3997865;46934;40133.71429
09/03/2020;4041638;43773;40101.28571
09/04/2020;4091801;50163;40035.28571
09/05/2020;4123000;31199;40999.71429
09/06/2020;4137521;14521;39549.57143
09/07/2020;4147794;10273;39315.71429
09/08/2020;4162073;14279;34217.42857
09/09/2020;4197889;35816;30163.14286
09/10/2020;4238446;40557;28574.85714
09/11/2020;4282164;43718;28115.42857
09/12/2020;4315687;33523;27194.71429
9/13/20;4330455;14768;27526.71429
9/14/20;4345610;15155;27562
9/15/20;4382263;36653;28259.42857
9/16/20;4419083;36820;31455.71429
9/17/20;4455386;36303;31599.14286
9/18/20;4495183;39797;30991.42857
9/19/20;4528240;33057;30431.28571
9/20/20;4544629;16389;30364.71429
9/21/20;4558040;13411;30596.28571
9/22/20;4591364;33324;30347.14286
9/23/20;4591364;0;29871.57143
9/24/20;4657702;66338;24611.57143
9/25/20;4689613;31911;28902.28571
9/26/20;4717991;28378;27775.71429
9/27/20;4732309;14318;27107.28571
9/28/20;4745464;13155;26811.42857
9/29/20;4777522;32058;26774.85714
9/30/20;4810935;33413;26594
10/01/2020;4847092;36157;31367.28571
10/02/2020;4847092;0;27055.71429
10/03/2020;4906833;59741;22497
10/04/2020;4915289;8456;26977.42857
10/05/2020;4927235;11946;26140
10/06/2020;4969141;41906;25967.28571
10/07/2020;5000694;31553;27374.14286
10/08/2020;5028444;27750;27108.42857
10/09/2020;5055888;27444;25907.42857
10/10/2020;5082637;26749;29828
10/11/2020;5094979;12342;25114.85714
10/12/2020;5103408;8429;25670
10/13/20;5113628;10220;25167.57143
10/14/20;5140863;27235;20641
10/15/20;5169386;28523;20024.14286
10/16/20;5200300;30914;20134.57143
10/17/20;5224362;24062;20630.28571
10/18/20;5224362;0;20246.42857
10/19/20;5250727;26365;18483.28571
10/20/20;5273954;23227;21045.57143
10/21/20;5298772;24818;22903.71429
10/22/20;5323630;24858;22558.42857
10/23/20;5353656;30026;22034.85714
10/24/20;5380635;26979;21908
10/25/20;5394128;13493;22324.71429
10/26/20;5409854;15726;24252.28571
10/27/20;5439641;29787;22732.42857
10/28/20;5468270;28629;23669.57143
10/29/20;5494376;26106;24214
10/30/20;5516658;22282;24392.28571
10/31/20;5535605;18947;23286
11/01/2020;5545705;10100;22138.57143
11/02/2020;5554206;8501;21653.85714
11/03/2020;5566049;11843;20621.71429
11/04/2020;5590025;23976;18058.28571
11/05/2020;5590025;0;17393.57143
11/06/2020;5631181;41156;13664.14286
11/07/2020;5653561;22380;16360.42857
11/08/2020;5664115;10554;16850.85714
11/09/2020;5675032;10917;16915.71429
11/10/2020;5699005;23973;17260.85714
11/11/2020;5747660;48655;18993.71429
11/12/2020;5781582;33922;22519.28571
11/13/20;5810652;29070;27365.28571
11/14/20;5848959;38307;25638.71429
11/15/20;5863093;14134;27914
11/16/20;5876464;13371;28425.42857
11/17/20;5911758;35294;28776
11/18/20;5945849;34091;30393.28571
11/19/20;5981767;35918;28312.71429
11/20/20;6020164;38397;28597.85714
11/21/20;6052786;32622;29930.28571
11/22/20;6071401;18615;29118.14286
11/23/20;6087608;16207;29758.28571
11/24/20;6118708;31100;30163.42857
11/25/20;6166606;47898;29564.28571
11/26/20;6204220;37614;31536.71429
11/27/20;6238350;34130;31779
11/28/20;6290272;51922;31169.42857
11/29/20;6314740;24468;33926.57143
11/30/20;6335878;21138;34762.71429
12/01/2020;6386787;50909;35467.14286
12/02/2020;6436650;49863;38297
12/03/2020;6487084;50434;38577.71429
12/04/2020;6533968;46884;40409.14286
12/05/2020;6577177;43209;42231.14286
12/06/2020;6603540;26363;40986.42857
12/07/2020;6623911;20371;41257.14286
12/08/2020;6674999;51088;41147.57143
12/09/2020;6728452;53453;41173.14286
12/10/2020;6781799;53347;41686
12/11/2020;6836227;54428;42102.14286
12/12/2020;6880127;43900;43179.85714
12/13/20;6901952;21825;43278.57143
12/14/20;6927145;25193;42630.28571
12/15/20;6970034;42889;43319.14286
12/16/20;7040608;70574;42147.85714
