time;inc_acu;inc_dia;inc_mm7
1/22/20;0;;
1/23/20;0;0;
1/24/20;0;0;
1/25/20;0;0;
1/26/20;0;0;
1/27/20;0;0;
1/28/20;0;0;
1/29/20;0;0;
1/30/20;1;1;0
1/31/20;1;0;0.142857143
02/01/2020;1;0;0.142857143
02/02/2020;2;1;0.142857143
02/03/2020;3;1;0.285714286
02/04/2020;3;0;0.428571429
02/05/2020;3;0;0.428571429
02/06/2020;3;0;0.428571429
02/07/2020;3;0;0.285714286
02/08/2020;3;0;0.285714286
02/09/2020;3;0;0.285714286
02/10/2020;3;0;0.142857143
02/11/2020;3;0;0
02/12/2020;3;0;0
2/13/20;3;0;0
2/14/20;3;0;0
2/15/20;3;0;0
2/16/20;3;0;0
2/17/20;3;0;0
2/18/20;3;0;0
2/19/20;3;0;0
2/20/20;3;0;0
2/21/20;3;0;0
2/22/20;3;0;0
2/23/20;3;0;0
2/24/20;3;0;0
2/25/20;3;0;0
2/26/20;3;0;0
2/27/20;3;0;0
2/28/20;3;0;0
2/29/20;3;0;0
03/01/2020;3;0;0
03/02/2020;5;2;0
03/03/2020;5;0;0.285714286
03/04/2020;28;23;0.285714286
03/05/2020;30;2;3.571428571
03/06/2020;31;1;3.857142857
03/07/2020;34;3;4
03/08/2020;39;5;4.428571429
03/09/2020;43;4;5.142857143
03/10/2020;56;13;5.428571429
03/11/2020;62;6;7.285714286
03/12/2020;73;11;4.857142857
3/13/20;82;9;6.142857143
3/14/20;102;20;7.285714286
3/15/20;113;11;9.714285714
3/16/20;119;6;10.57142857
3/17/20;142;23;10.85714286
3/18/20;156;14;12.28571429
3/19/20;194;38;13.42857143
3/20/20;244;50;17.28571429
3/21/20;330;86;23.14285714
3/22/20;396;66;32.57142857
3/23/20;499;103;40.42857143
3/24/20;536;37;54.28571429
3/25/20;657;121;56.28571429
3/26/20;727;70;71.57142857
3/27/20;887;160;76.14285714
3/28/20;987;100;91.85714286
3/29/20;1024;37;93.85714286
3/30/20;1251;227;89.71428571
3/31/20;1397;146;107.4285714
04/01/2020;1998;601;123
04/02/2020;2543;545;191.5714286
04/03/2020;2567;24;259.4285714
04/04/2020;3082;515;240
04/05/2020;3588;506;299.2857143
04/06/2020;4778;1190;366.2857143
04/07/2020;5311;533;503.8571429
04/08/2020;5916;605;559.1428571
04/09/2020;6725;809;559.7142857
04/10/2020;7598;873;597.4285714
04/11/2020;8446;848;718.7142857
04/12/2020;9205;759;766.2857143
4/13/20;10453;1248;802.4285714
4/14/20;11487;1034;810.7142857
4/15/20;12322;835;882.2857143
4/16/20;13430;1108;915.1428571
4/17/20;14352;922;957.8571429
4/18/20;15722;1370;964.8571429
4/19/20;17615;1893;1039.428571
4/20/20;18539;924;1201.428571
4/21/20;20080;1541;1155.142857
4/22/20;21370;1290;1227.571429
4/23/20;23077;1707;1292.571429
4/24/20;24530;1453;1378.142857
4/25/20;26283;1753;1454
4/26/20;27890;1607;1508.714286
4/27/20;29451;1561;1467.857143
4/28/20;31324;1873;1558.857143
4/29/20;33062;1738;1606.285714
4/30/20;34863;1801;1670.285714
05/01/2020;37257;2394;1683.714286
05/02/2020;39699;2442;1818.142857
05/03/2020;42505;2806;1916.571429
05/04/2020;46437;3932;2087.857143
05/05/2020;49400;2963;2426.571429
05/06/2020;52987;3587;2582.285714
05/07/2020;56351;3364;2846.428571
05/08/2020;59695;3344;3069.714286
05/09/2020;62808;3113;3205.428571
05/10/2020;67161;4353;3301.285714
05/11/2020;70768;3607;3522.285714
05/12/2020;74292;3524;3475.857143
5/13/20;78055;3763;3556
5/14/20;81997;3942;3581.142857
5/15/20;85784;3787;3663.714286
5/16/20;90648;4864;3727
5/17/20;95698;5050;3977.142857
5/18/20;100328;4630;4076.714286
5/19/20;106475;6147;4222.857143
5/20/20;112028;5553;4597.571429
5/21/20;118226;6198;4853.285714
5/22/20;124794;6568;5175.571429
5/23/20;131423;6629;5572.857143
5/24/20;138536;7113;5825
5/25/20;144950;6414;6119.714286
5/26/20;150793;5843;6374.571429
5/27/20;158086;7293;6331.142857
5/28/20;165386;7300;6579.714286
5/29/20;173491;8105;6737.142857
5/30/20;181827;8336;6956.714286
5/31/20;190609;8782;7200.571429
06/01/2020;198370;7761;7439
06/02/2020;207191;8821;7631.428571
06/03/2020;216824;9633;8056.857143
06/04/2020;226713;9889;8391.142857
06/05/2020;236184;9471;8761
06/06/2020;246622;10438;8956.142857
06/07/2020;257486;10864;9256.428571
06/08/2020;265928;8442;9553.857143
06/09/2020;276146;10218;9651.142857
06/10/2020;286605;10459;9850.714286
06/11/2020;297535;10930;9968.714286
06/12/2020;308993;11458;10117.42857
6/13/20;320922;11929;10401.28571
6/14/20;332424;11502;10614.28571
6/15/20;343091;10667;10705.42857
6/16/20;354065;10974;11023.28571
6/17/20;366946;12881;11131.28571
6/18/20;380532;13586;11477.28571
6/19/20;395048;14516;11856.71429
6/20/20;410451;15403;12293.57143
6/21/20;425282;14831;12789.85714
6/22/20;440215;14933;13265.42857
6/23/20;456183;15968;13874.85714
6/24/20;473105;16922;14588.28571
6/25/20;490401;17296;15165.57143
6/26/20;508953;18552;15695.57143
6/27/20;528859;19906;16272.14286
6/28/20;548318;19459;16915.42857
6/29/20;566840;18522;17576.57143
6/30/20;585481;18641;18089.28571
07/01/2020;604641;19160;18471.14286
07/02/2020;625544;20903;18790.85714
07/03/2020;648315;22771;19306.14286
07/04/2020;673165;24850;19908.85714
07/05/2020;697413;24248;20615.14286
07/06/2020;719664;22251;21299.28571
07/07/2020;742417;22753;21832
07/08/2020;767296;24879;22419.42857
07/09/2020;793802;26506;23236.42857
07/10/2020;820916;27114;24036.85714
07/11/2020;849522;28606;24657.28571
07/12/2020;878254;28732;25193.85714
7/13/20;906752;28498;25834.42857
7/14/20;936181;29429;26726.85714
7/15/20;968857;32676;27680.57143
7/16/20;1003832;34975;28794.42857
7/17/20;1039084;35252;30004.28571
7/18/20;1077781;38697;31166.85714
7/19/20;1118206;40425;32608.42857
7/20/20;1155338;37132;34278.85714
7/21/20;1193078;37740;35512.28571
7/22/20;1238798;45720;36699.57143
7/23/20;1288108;49310;38563
7/24/20;1337024;48916;40610.85714
7/25/20;1385635;48611;42562.85714
7/26/20;1435616;49981;43979.14286
7/27/20;1480073;44457;45344.28571
7/28/20;1531669;51596;46390.71429
7/29/20;1581963;50294;48370.14286
7/30/20;1634746;52783;49023.57143
7/31/20;1695988;61242;49519.71429
08/01/2020;1750723;54735;51280.57143
08/02/2020;1803695;52972;52155.42857
08/03/2020;1855745;52050;52582.71429
08/04/2020;1908254;52509;53667.42857
08/05/2020;1964536;56282;53797.85714
08/06/2020;2027074;62538;54653.28571
08/07/2020;2088611;61537;56046.85714
08/08/2020;2153010;64399;56089
08/09/2020;2215074;62064;57469.57143
08/10/2020;2268675;53601;58768.42857
08/11/2020;2329638;60963;58990
08/12/2020;2396637;66999;60197.71429
8/13/20;2461190;64553;61728.71429
8/14/20;2525922;64732;62016.57143
8/15/20;2589952;64030;62473
8/16/20;2647663;57711;62420.28571
8/17/20;2702681;55018;61798.42857
8/18/20;2767253;64572;62000.85714
8/19/20;2836925;69672;62516.42857
8/20/20;2905825;68900;62898.28571
8/21/20;2975701;69876;63519.28571
8/22/20;3044940;69239;64254.14286
8/23/20;3106348;61408;64998.28571
8/24/20;3167323;60975;65526.42857
8/25/20;3224547;57224;66377.42857
8/26/20;3310234;85687;65327.71429
8/27/20;3387500;77266;67615.57143
8/28/20;3463972;76472;68810.71429
8/29/20;3542733;78761;69753
8/30/20;3621245;78512;71113.28571
8/31/20;3691166;69921;73556.71429
09/01/2020;3769523;78357;74834.71429
09/02/2020;3853406;83883;77853.71429
09/03/2020;3936747;83341;77596
09/04/2020;4023179;86432;78463.85714
09/05/2020;4113811;90632;79886.71429
09/06/2020;4204613;90802;81582.57143
09/07/2020;4280422;75809;83338.28571
09/08/2020;4370128;89706;84179.42857
09/09/2020;4465863;95735;85800.71429
09/10/2020;4562414;96551;87493.85714
09/11/2020;4659984;97570;89381
09/12/2020;4754356;94372;90972.14286
9/13/20;4846427;92071;91506.42857
9/14/20;4930236;83809;91687.71429
9/15/20;5020359;90123;92830.57143
9/16/20;5118253;97894;92890.14286
9/17/20;5214677;96424;93198.57143
9/18/20;5308014;93337;93180.42857
9/19/20;5400619;92605;92575.71429
9/20/20;5487580;86961;92323.28571
9/21/20;5562663;75083;91593.28571
9/22/20;5646010;83347;90346.71429
9/23/20;5732518;86508;89378.71429
9/24/20;5818570;86052;87752.14286
9/25/20;5903932;85362;86270.42857
9/26/20;5992532;88600;85131.14286
9/27/20;6074702;82170;84559
9/28/20;6145291;70589;83874.57143
9/29/20;6225763;80472;83232.57143
9/30/20;6312584;86821;82821.85714
10/01/2020;6394068;81484;82866.57143
10/02/2020;6473544;79476;82214
10/03/2020;6549373;75829;81373.14286
10/04/2020;6623815;74442;79548.71429
10/05/2020;6685082;61267;78444.71429
10/06/2020;6757131;72049;77113
10/07/2020;6835655;78524;75909.71429
10/08/2020;6906151;70496;74724.42857
10/09/2020;6979423;73272;73154.71429
10/10/2020;7053806;74383;72268.42857
10/11/2020;7120538;66732;72061.85714
10/12/2020;7175880;55342;70960.42857
10/13/20;7239389;63509;70114
10/14/20;7307097;67708;68894
10/15/20;7370468;63371;67348.85714
10/16/20;7432680;62212;66331
10/17/20;7494551;61871;64751
10/18/20;7550273;55722;62963.57143
10/19/20;7597063;46790;61390.71429
10/20/20;7651107;54044;60169
10/21/20;7706946;55839;58816.85714
10/22/20;7761312;54366;57121.28571
10/23/20;7814682;53370;55834.85714
10/24/20;7864811;50129;54571.71429
10/25/20;7909959;45148;52894.28571
10/26/20;7946429;36470;51383.71429
10/27/20;7990322;43893;49909.42857
10/28/20;8040203;49881;48459.28571
10/29/20;8088851;48648;47608.14286
10/30/20;8137119;48268;46791.28571
10/31/20;8184082;46963;46062.42857
11/01/2020;8229313;45231;45610.14286
11/02/2020;8267623;38310;45622
11/03/2020;8313876;46253;45884.85714
11/04/2020;8364086;50210;46222
11/05/2020;8411724;47638;46269
11/06/2020;8462080;50356;46124.71429
11/07/2020;8507754;45674;46423
11/08/2020;8553657;45903;46238.85714
11/09/2020;8591730;38073;46334.85714
11/10/2020;8636011;44281;46301
11/11/2020;8683916;47905;46019.28571
11/12/2020;8728795;44879;45690
11/13/20;8773479;44684;45295.85714
11/14/20;8814579;41100;44485.57143
11/15/20;8845127;30548;43832.14286
11/16/20;8874290;29163;41638.57143
11/17/20;8912907;38617;40365.71429
11/18/20;8958483;45576;39556.57143
11/19/20;9004365;45882;39223.85714
11/20/20;9050597;46232;39367.14286
11/21/20;9095806;45209;39588.28571
11/22/20;9139865;44059;40175.28571
11/23/20;9177840;37975;42105.42857
11/24/20;9222216;44376;43364.28571
11/25/20;9266705;44489;44187
11/26/20;9309787;43082;44031.71429
11/27/20;9351109;41322;43631.71429
11/28/20;9392919;41810;42930.28571
11/29/20;9431691;38772;42444.71429
11/30/20;9462809;31118;41689.42857
12/01/2020;9499413;36604;40709.85714
12/02/2020;9534964;35551;39599.57143
12/03/2020;9571559;36595;38322.71429
12/04/2020;9608211;36652;37396
12/05/2020;9644222;36011;36728.85714
12/06/2020;9677203;32981;35900.42857
12/07/2020;9703770;26567;35073.14286
12/08/2020;9735850;32080;34423
12/09/2020;9767371;31521;33776.71429
12/10/2020;9796744;29373;33201
12/11/2020;9826775;30031;32169.28571
12/12/2020;9857029;30254;31223.42857
12/13/20;9884100;27071;30401
12/14/20;9906165;22065;29556.71429
12/15/20;9932547;26382;28913.57143
12/16/20;9956557;24010;28099.57143
12/17/20;9979447;22890;27026.57143
