time;inc_acu;inc_dia;inc_mm7
1/22/20;0;;
1/23/20;0;0;
1/24/20;0;0;
1/25/20;0;0;
1/26/20;0;0;
1/27/20;0;0;
1/28/20;0;0;
1/29/20;0;0;
1/30/20;0;0;0
1/31/20;2;2;0
02/01/2020;2;0;0.285714286
02/02/2020;2;0;0.285714286
02/03/2020;2;0;0.285714286
02/04/2020;2;0;0.285714286
02/05/2020;2;0;0.285714286
02/06/2020;2;0;0.285714286
02/07/2020;2;0;0.285714286
02/08/2020;2;0;0
02/09/2020;2;0;0
02/10/2020;2;0;0
02/11/2020;2;0;0
02/12/2020;2;0;0
2/13/20;2;0;0
2/14/20;2;0;0
2/15/20;2;0;0
2/16/20;2;0;0
2/17/20;2;0;0
2/18/20;2;0;0
2/19/20;2;0;0
2/20/20;2;0;0
2/21/20;2;0;0
2/22/20;2;0;0
2/23/20;2;0;0
2/24/20;2;0;0
2/25/20;2;0;0
2/26/20;2;0;0
2/27/20;2;0;0
2/28/20;2;0;0
2/29/20;2;0;0
03/01/2020;2;0;0
03/02/2020;3;1;0
03/03/2020;3;0;0.142857143
03/04/2020;3;0;0.142857143
03/05/2020;4;1;0.142857143
03/06/2020;13;9;0.285714286
03/07/2020;13;0;1.571428571
03/08/2020;17;4;1.571428571
03/09/2020;17;0;2.142857143
03/10/2020;20;3;2
03/11/2020;20;0;2.428571429
03/12/2020;28;8;2.428571429
3/13/20;45;17;3.428571429
3/14/20;59;14;4.571428571
3/15/20;63;4;6.571428571
3/16/20;90;27;6.571428571
3/17/20;114;24;10.42857143
3/18/20;147;33;13.42857143
3/19/20;199;52;18.14285714
3/20/20;253;54;24.42857143
3/21/20;306;53;29.71428571
3/22/20;367;61;35.28571429
3/23/20;438;71;43.42857143
3/24/20;495;57;49.71428571
3/25/20;658;163;54.42857143
3/26/20;840;182;73
3/27/20;1036;196;91.57142857
3/28/20;1264;228;111.8571429
3/29/20;1534;270;136.8571429
3/30/20;1836;302;166.7142857
3/31/20;2337;501;199.7142857
04/01/2020;2777;440;263.1428571
04/02/2020;3548;771;302.7142857
04/03/2020;4149;601;386.8571429
04/04/2020;4731;582;444.7142857
04/05/2020;5389;658;495.2857143
04/06/2020;6343;954;550.7142857
04/07/2020;7497;1154;643.8571429
04/08/2020;8672;1175;737.1428571
04/09/2020;10131;1459;842.1428571
04/10/2020;11917;1786;940.4285714
04/11/2020;13584;1667;1109.714286
04/12/2020;15770;2186;1264.714286
4/13/20;18328;2558;1483
4/14/20;21102;2774;1712.142857
4/15/20;24490;3388;1943.571429
4/16/20;27938;3448;2259.714286
4/17/20;32008;4070;2543.857143
4/18/20;36793;4785;2870.142857
4/19/20;42853;6060;3315.571429
4/20/20;47121;4268;3869
4/21/20;52763;5642;4113.285714
4/22/20;57999;5236;4523
4/23/20;62773;4774;4787
4/24/20;68622;5849;4976.428571
4/25/20;74588;5966;5230.571429
4/26/20;80949;6361;5399.285714
4/27/20;87147;6198;5442.285714
4/28/20;93558;6411;5718
4/29/20;99399;5841;5827.857143
4/30/20;106498;7099;5914.285714
05/01/2020;114431;7933;6246.428571
05/02/2020;124054;9623;6544.142857
05/03/2020;134687;10633;7066.571429
05/04/2020;145268;10581;7676.857143
05/05/2020;155370;10102;8303
05/06/2020;165929;10559;8830.285714
05/07/2020;177160;11231;9504.285714
05/08/2020;187859;10699;10094.57143
05/09/2020;198676;10817;10489.71429
05/10/2020;209688;11012;10660.28571
05/11/2020;221344;11656;10714.42857
05/12/2020;232243;10899;10868
5/13/20;242271;10028;10981.85714
5/14/20;252245;9974;10906
5/15/20;262843;10598;10726.42857
5/16/20;272043;9200;10712
5/17/20;281752;9709;10481
5/18/20;290678;8926;10294.85714
5/19/20;299941;9263;9904.857143
5/20/20;308705;8764;9671.142857
5/21/20;317554;8849;9490.571429
5/22/20;326448;8894;9329.857143
5/23/20;335882;9434;9086.428571
5/24/20;344481;8599;9119.857143
5/25/20;353427;8946;8961.285714
5/26/20;362342;8915;8964.142857
5/27/20;370680;8338;8914.428571
5/28/20;379051;8371;8853.571429
5/29/20;387623;8572;8785.285714
5/30/20;396575;8952;8739.285714
5/31/20;405843;9268;8670.428571
06/01/2020;414328;8485;8766
06/02/2020;423186;8858;8700.142857
06/03/2020;431715;8529;8692
06/04/2020;440538;8823;8719.285714
06/05/2020;449256;8718;8783.857143
06/06/2020;458102;8846;8804.714286
06/07/2020;467073;8971;8789.571429
06/08/2020;476043;8970;8747.142857
06/09/2020;484630;8587;8816.428571
06/10/2020;493023;8393;8777.714286
06/11/2020;501800;8777;8758.285714
06/12/2020;510761;8961;8751.714286
6/13/20;519458;8697;8786.428571
6/14/20;528267;8809;8765.142857
6/15/20;536484;8217;8742
6/16/20;544725;8241;8634.428571
6/17/20;552549;7824;8585
6/18/20;560321;7772;8503.714286
6/19/20;568292;7971;8360.142857
6/20/20;576162;7870;8218.714286
6/21/20;583879;7717;8100.571429
6/22/20;591465;7586;7944.571429
6/23/20;598878;7413;7854.428571
6/24/20;606043;7165;7736.142857
6/25/20;613148;7105;7642
6/26/20;619936;6788;7546.714286
6/27/20;626779;6843;7377.714286
6/28/20;633563;6784;7231
6/29/20;640246;6683;7097.714286
6/30/20;646929;6683;6968.714286
07/01/2020;653479;6550;6864.428571
07/02/2020;660231;6752;6776.571429
07/03/2020;666941;6710;6726.142857
07/04/2020;673564;6623;6715
07/05/2020;680283;6719;6683.571429
07/06/2020;686852;6569;6674.285714
07/07/2020;693215;6363;6658
07/08/2020;699749;6534;6612.285714
07/09/2020;706240;6491;6610
07/10/2020;712863;6623;6572.714286
07/11/2020;719449;6586;6560.285714
07/12/2020;726036;6587;6555
7/13/20;732547;6511;6536.142857
7/14/20;738787;6240;6527.857143
7/15/20;745197;6410;6510.285714
7/16/20;751612;6415;6492.571429
7/17/20;758001;6389;6481.714286
7/18/20;764215;6214;6448.285714
7/19/20;770311;6096;6395.142857
7/20/20;776212;5901;6325
7/21/20;782040;5828;6237.857143
7/22/20;787890;5850;6179
7/23/20;793720;5830;6099
7/24/20;799499;5779;6015.428571
7/25/20;805332;5833;5928.285714
7/26/20;811073;5741;5873.857143
7/27/20;816680;5607;5823.142857
7/28/20;822060;5380;5781.142857
7/29/20;827509;5449;5717.142857
7/30/20;832993;5484;5659.857143
7/31/20;838461;5468;5610.428571
08/01/2020;843890;5429;5566
08/02/2020;849277;5387;5508.285714
08/03/2020;854641;5364;5457.714286
08/04/2020;859762;5121;5423
08/05/2020;864948;5186;5386
08/06/2020;870187;5239;5348.428571
08/07/2020;875378;5191;5313.428571
08/08/2020;880563;5185;5273.857143
08/09/2020;885718;5155;5239
08/10/2020;890799;5081;5205.857143
08/11/2020;895691;4892;5165.428571
08/12/2020;900745;5054;5132.714286
8/13/20;905762;5017;5113.857143
8/14/20;910778;5016;5082.142857
8/15/20;915808;5030;5057.142857
8/16/20;920719;4911;5035
8/17/20;925558;4839;5000.142857
8/18/20;930276;4718;4965.571429
8/19/20;935066;4790;4940.714286
8/20/20;939833;4767;4903
8/21/20;944671;4838;4867.285714
8/22/20;949531;4860;4841.857143
8/23/20;954328;4797;4817.571429
8/24/20;959016;4688;4801.285714
8/25/20;963655;4639;4779.714286
8/26/20;968297;4642;4768.428571
8/27/20;972972;4675;4747.285714
8/28/20;977730;4758;4734.142857
8/29/20;982573;4843;4722.714286
8/30/20;987470;4897;4720.285714
8/31/20;992402;4932;4734.571429
09/01/2020;997072;4670;4769.428571
09/02/2020;1001965;4893;4773.857143
09/03/2020;1006923;4958;4809.714286
09/04/2020;1011987;5064;4850.142857
09/05/2020;1017131;5144;4893.857143
09/06/2020;1022228;5097;4936.857143
09/07/2020;1027334;5106;4965.428571
09/08/2020;1032354;5020;4990.285714
09/09/2020;1037526;5172;5040.285714
09/10/2020;1042836;5310;5080.142857
09/11/2020;1048257;5421;5130.428571
09/12/2020;1053663;5406;5181.428571
9/13/20;1059024;5361;5218.857143
9/14/20;1064438;5414;5256.571429
9/15/20;1069873;5435;5300.571429
9/16/20;1075485;5612;5359.857143
9/17/20;1081152;5667;5422.714286
9/18/20;1086955;5803;5473.714286
9/19/20;1092915;5960;5528.285714
9/20/20;1098958;6043;5607.428571
9/21/20;1105048;6090;5704.857143
9/22/20;1111157;6109;5801.428571
9/23/20;1117487;6330;5897.714286
9/24/20;1123976;6489;6000.285714
9/25/20;1131088;7112;6117.714286
9/26/20;1138509;7421;6304.714286
9/27/20;1146273;7764;6513.428571
9/28/20;1154299;8026;6759.285714
9/29/20;1162428;8129;7035.857143
9/30/20;1170799;8371;7324.428571
10/01/2020;1179634;8835;7616
10/02/2020;1188928;9294;7951.142857
10/03/2020;1198663;9735;8262.857143
10/04/2020;1209039;10376;8593.428571
10/05/2020;1219796;10757;8966.571429
10/06/2020;1231277;11481;9356.714286
10/07/2020;1242258;10981;9835.571429
10/08/2020;1253603;11345;10208.42857
10/09/2020;1265572;11969;10567
10/10/2020;1278245;12673;10949.14286
10/11/2020;1291687;13442;11368.85714
10/12/2020;1305093;13406;11806.85714
10/13/20;1318783;13690;12185.28571
10/14/20;1332824;14041;12500.85714
10/15/20;1346380;13556;12938
10/16/20;1361317;14937;13253.85714
10/17/20;1376020;14703;13677.85714
10/18/20;1390824;14804;13967.85714
10/19/20;1406667;15843;14162.42857
10/20/20;1422775;16108;14510.57143
10/21/20;1438219;15444;14856
10/22/20;1453923;15704;15056.42857
10/23/20;1471000;17077;15363.28571
10/24/20;1487260;16260;15669
10/25/20;1503652;16392;15891.42857
10/26/20;1520800;17148;16118.28571
10/27/20;1537142;16342;16304.71429
10/28/20;1553028;15886;16338.14286
10/29/20;1570446;17418;16401.28571
10/30/20;1588433;17987;16646.14286
10/31/20;1606267;17834;16776.14286
11/01/2020;1624648;18381;17001
11/02/2020;1642665;18017;17285.14286
11/03/2020;1661096;18431;17409.28571
11/04/2020;1680579;19483;17707.71429
11/05/2020;1699695;19116;18221.57143
11/06/2020;1720063;20368;18464.14286
11/07/2020;1740172;20109;18804.28571
11/08/2020;1760420;20248;19129.28571
11/09/2020;1781997;21577;19396
11/10/2020;1802762;20765;19904.57143
11/11/2020;1822345;19583;20238
11/12/2020;1843678;21333;20252.28571
11/13/20;1865395;21717;20569
11/14/20;1887836;22441;20761.71429
11/15/20;1910149;22313;21094.85714
11/16/20;1932711;22562;21389.85714
11/17/20;1954912;22201;21530.57143
11/18/20;1975629;20717;21735.71429
11/19/20;1998966;23337;21897.71429
11/20/20;2023025;24059;22184
11/21/20;2047563;24538;22518.57143
11/22/20;2071858;24295;22818.14286
11/23/20;2096749;24891;23101.28571
11/24/20;2120836;24087;23434
11/25/20;2144229;23393;23703.42857
11/26/20;2169424;25195;24085.71429
11/27/20;2196691;27267;24351.14286
11/28/20;2223500;26809;24809.42857
11/29/20;2249890;26390;25133.85714
11/30/20;2275936;26046;25433.14286
12/01/2020;2302062;26126;25598.14286
12/02/2020;2327105;25043;25889.42857
12/03/2020;2354934;27829;26125.14286
12/04/2020;2382012;27078;26501.42857
12/05/2020;2410462;28450;26474.42857
12/06/2020;2439163;28701;26708.85714
12/07/2020;2466961;27798;27039
12/08/2020;2492713;25752;27289.28571
12/09/2020;2518551;25838;27235.85714
12/10/2020;2546113;27562;27349.42857
12/11/2020;2574319;28206;27311.28571
12/12/2020;2602048;27729;27472.42857
12/13/20;2629699;27651;27369.42857
12/14/20;2656601;26902;27219.42857
12/15/20;2682866;26265;27091.42857
12/16/20;2708940;26074;27164.71429
12/17/20;2736727;27787;27198.42857
12/18/20;2764843;28116;27230.57143
12/19/20;2792615;27772;27217.71429
12/20/20;2821125;28510;27223.85714
