time;inc_acu;inc_dia;inc_mm7
1/22/20;0;;
1/23/20;0;0;
1/24/20;0;0;
1/25/20;0;0;
1/26/20;0;0;
1/27/20;0;0;
1/28/20;0;0;
1/29/20;4;4;
1/30/20;4;0;0.571428571
1/31/20;4;0;0.571428571
02/01/2020;4;0;0.571428571
02/02/2020;5;1;0.571428571
02/03/2020;5;0;0.714285714
02/04/2020;5;0;0.714285714
02/05/2020;5;0;0.714285714
02/06/2020;5;0;0.142857143
02/07/2020;5;0;0.142857143
02/08/2020;7;2;0.142857143
02/09/2020;7;0;0.428571429
02/10/2020;8;1;0.285714286
02/11/2020;8;0;0.428571429
02/12/2020;8;0;0.428571429
2/13/20;8;0;0.428571429
2/14/20;8;0;0.428571429
2/15/20;8;0;0.428571429
2/16/20;9;1;0.142857143
2/17/20;9;0;0.285714286
2/18/20;9;0;0.142857143
2/19/20;9;0;0.142857143
2/20/20;9;0;0.142857143
2/21/20;9;0;0.142857143
2/22/20;13;4;0.142857143
2/23/20;13;0;0.714285714
2/24/20;13;0;0.571428571
2/25/20;13;0;0.571428571
2/26/20;13;0;0.571428571
2/27/20;13;0;0.571428571
2/28/20;19;6;0.571428571
2/29/20;21;2;1.428571429
03/01/2020;21;0;1.142857143
03/02/2020;21;0;1.142857143
03/03/2020;27;6;1.142857143
03/04/2020;27;0;2
03/05/2020;29;2;2
03/06/2020;29;0;2.285714286
03/07/2020;45;16;1.428571429
03/08/2020;45;0;3.428571429
03/09/2020;45;0;3.428571429
03/10/2020;74;29;3.428571429
03/11/2020;74;0;6.714285714
03/12/2020;85;11;6.714285714
3/13/20;85;0;8
3/14/20;85;0;8
3/15/20;98;13;5.714285714
3/16/20;98;0;7.571428571
3/17/20;98;0;7.571428571
3/18/20;113;15;3.428571429
3/19/20;140;27;5.571428571
3/20/20;140;0;7.857142857
3/21/20;153;13;7.857142857
3/22/20;153;0;9.714285714
3/23/20;198;45;7.857142857
3/24/20;248;50;14.28571429
3/25/20;333;85;21.42857143
3/26/20;333;0;31.42857143
3/27/20;405;72;27.57142857
3/28/20;468;63;37.85714286
3/29/20;570;102;45
3/30/20;611;41;59.57142857
3/31/20;664;53;59
04/01/2020;814;150;59.42857143
04/02/2020;1024;210;68.71428571
04/03/2020;1264;240;98.71428571
04/04/2020;1505;241;122.7142857
04/05/2020;1799;294;148.1428571
04/06/2020;2076;277;175.5714286
04/07/2020;2359;283;209.2857143
04/08/2020;2659;300;242.1428571
04/09/2020;2990;331;263.5714286
04/10/2020;3360;370;280.8571429
04/11/2020;3736;376;299.4285714
04/12/2020;4123;387;318.7142857
4/13/20;4521;398;332
4/14/20;4933;412;349.2857143
4/15/20;5365;432;367.7142857
4/16/20;5825;460;386.5714286
4/17/20;6302;477;405
4/18/20;6302;0;420.2857143
4/19/20;6781;479;366.5714286
4/20/20;7265;484;379.7142857
4/21/20;7755;490;392
4/22/20;8238;483;403.1428571
4/23/20;8756;518;410.4285714
4/24/20;9281;525;418.7142857
4/25/20;9813;532;425.5714286
4/26/20;10349;536;501.5714286
4/27/20;10839;490;509.7142857
4/28/20;11380;541;510.5714286
4/29/20;11929;549;517.8571429
4/30/20;12481;552;527.2857143
05/01/2020;13038;557;532.1428571
05/02/2020;13599;561;536.7142857
05/03/2020;14163;564;540.8571429
05/04/2020;14730;567;544.8571429
05/05/2020;15192;462;555.8571429
05/06/2020;15738;546;544.5714286
05/07/2020;16240;502;544.1428571
05/08/2020;16793;553;537
05/09/2020;17417;624;536.4285714
05/10/2020;18198;781;545.4285714
05/11/2020;18878;680;576.4285714
05/12/2020;19661;783;592.5714286
5/13/20;20386;725;638.4285714
5/14/20;21084;698;664
5/15/20;21831;747;692
5/16/20;22627;796;719.7142857
5/17/20;23358;731;744.2857143
5/18/20;24190;832;737.1428571
5/19/20;25063;873;758.8571429
5/20/20;26004;941;771.7142857
5/21/20;26898;894;802.5714286
5/22/20;27892;994;830.5714286
5/23/20;28704;812;865.8571429
5/24/20;29485;781;868.1428571
5/25/20;30307;822;875.2857143
5/26/20;31086;779;873.8571429
5/27/20;31969;883;860.4285714
5/28/20;32532;563;852.1428571
5/29/20;33170;638;804.8571429
5/30/20;33896;726;754
5/31/20;34557;661;741.7142857
06/01/2020;35192;635;724.5714286
06/02/2020;35788;596;697.8571429
06/03/2020;36359;571;671.7142857
06/04/2020;37018;659;627.1428571
06/05/2020;37642;624;640.8571429
06/06/2020;38268;626;638.8571429
06/07/2020;38808;540;624.5714286
06/08/2020;39376;568;607.2857143
06/09/2020;39904;528;597.7142857
06/10/2020;40507;603;588
06/11/2020;40986;479;592.5714286
06/12/2020;41499;513;566.8571429
6/13/20;41990;491;551
6/14/20;42294;304;531.7142857
6/15/20;42636;342;498
6/16/20;42982;346;465.7142857
6/17/20;43364;382;439.7142857
6/18/20;43752;388;408.1428571
6/19/20;44145;393;395.1428571
6/20/20;44533;388;378
6/21/20;44925;392;363.2857143
6/22/20;45303;378;375.8571429
6/23/20;45683;380;381
6/24/20;46133;450;385.8571429
6/25/20;46563;430;395.5714286
6/26/20;46973;410;401.5714286
6/27/20;47360;387;404
6/28/20;47797;437;403.8571429
6/29/20;48246;449;410.2857143
6/30/20;48667;421;420.4285714
07/01/2020;49069;402;426.2857143
07/02/2020;49469;400;419.4285714
07/03/2020;50141;672;415.1428571
07/04/2020;50857;716;452.5714286
07/05/2020;51540;683;499.5714286
07/06/2020;52068;528;534.7142857
07/07/2020;52600;532;546
07/08/2020;53045;445;561.8571429
07/09/2020;53577;532;568
07/10/2020;54050;473;586.8571429
07/11/2020;54453;403;558.4285714
07/12/2020;54854;401;513.7142857
7/13/20;55198;344;473.4285714
7/14/20;55573;375;447.1428571
7/15/20;55848;275;424.7142857
7/16/20;56129;281;400.4285714
7/17/20;56422;293;364.5714286
7/18/20;56711;289;338.8571429
7/19/20;56922;211;322.5714286
7/20/20;57193;271;295.4285714
7/21/20;57498;305;285
7/22/20;57734;236;275
7/23/20;57988;254;269.4285714
7/24/20;58249;261;265.5714286
7/25/20;58562;313;261
7/26/20;58913;351;264.4285714
7/27/20;59177;264;284.4285714
7/28/20;59546;369;283.4285714
7/29/20;59921;375;292.5714286
7/30/20;60223;302;312.4285714
7/31/20;60506;283;319.2857143
08/01/2020;60760;254;322.4285714
08/02/2020;60999;239;314
08/03/2020;61163;164;298
08/04/2020;61352;189;283.7142857
08/05/2020;61606;254;258
08/06/2020;61845;239;240.7142857
08/07/2020;62061;216;231.7142857
08/08/2020;62300;239;222.1428571
08/09/2020;62525;225;220
08/10/2020;62704;179;218
08/11/2020;62966;262;220.1428571
08/12/2020;63212;246;230.5714286
8/13/20;63489;277;229.4285714
8/14/20;63819;330;234.8571429
8/15/20;64102;283;251.1428571
8/16/20;64312;210;257.4285714
8/17/20;64541;229;255.2857143
8/18/20;64906;365;262.4285714
8/19/20;65341;435;277.1428571
8/20/20;65802;461;304.1428571
8/21/20;66193;391;330.4285714
8/22/20;66617;424;339.1428571
8/23/20;67007;390;359.2857143
8/24/20;67282;275;385
8/25/20;67621;339;391.5714286
8/26/20;68020;399;387.8571429
8/27/20;68511;491;382.7142857
8/28/20;68901;390;387
8/29/20;69328;427;386.8571429
8/30/20;69690;362;387.2857143
8/31/20;70231;541;383.2857143
09/01/2020;70805;574;421.2857143
09/02/2020;71540;735;454.8571429
09/03/2020;72154;614;502.8571429
09/04/2020;72766;612;520.4285714
09/05/2020;73471;705;552.1428571
09/06/2020;73984;513;591.8571429
09/07/2020;74454;470;613.4285714
09/08/2020;75098;644;603.2857143
09/09/2020;75981;883;613.2857143
09/10/2020;76911;930;634.4285714
09/11/2020;77842;931;679.5714286
09/12/2020;78849;1007;725.1428571
9/13/20;79489;640;768.2857143
9/14/20;80266;777;786.4285714
9/15/20;80940;674;830.2857143
9/16/20;81782;842;834.5714286
9/17/20;82568;786;828.7142857
9/18/20;83433;865;808.1428571
9/19/20;84242;809;798.7142857
9/20/20;84916;674;770.4285714
9/21/20;85595;679;775.2857143
9/22/20;86447;852;761.2857143
9/23/20;87530;1083;786.7142857
9/24/20;88532;1002;821.1428571
9/25/20;89540;1008;852
9/26/20;90618;1078;872.4285714
9/27/20;91469;851;910.8571429
9/28/20;92095;626;936.1428571
9/29/20;93090;995;928.5714286
9/30/20;94190;1100;949
10/01/2020;95348;1158;951.4285714
10/02/2020;96529;1181;973.7142857
10/03/2020;97760;1231;998.4285714
10/04/2020;98801;1041;1020.285714
10/05/2020;99733;932;1047.428571
10/06/2020;100794;1061;1091.142857
10/07/2020;101840;1046;1100.571429
10/08/2020;102929;1089;1092.857143
10/09/2020;104004;1075;1083
10/10/2020;105133;1129;1067.857143
10/11/2020;106229;1096;1053.285714
10/12/2020;107293;1064;1061.142857
10/13/20;108608;1315;1080
10/14/20;110039;1431;1116.285714
10/15/20;111437;1398;1171.285714
10/16/20;112849;1412;1215.428571
10/17/20;114387;1538;1263.571429
10/18/20;115602;1215;1322
10/19/20;116517;915;1339
10/20/20;117594;1077;1317.714286
10/21/20;119132;1538;1283.714286
10/22/20;120710;1578;1299
10/23/20;122273;1563;1324.714286
10/24/20;123764;1491;1346.285714
10/25/20;125123;1359;1339.571429
10/26/20;126234;1111;1360.142857
10/27/20;127624;1390;1388.142857
10/28/20;129024;1400;1432.857143
10/29/20;130336;1312;1413.142857
10/30/20;131508;1172;1375.142857
10/31/20;132629;1121;1319.285714
11/01/2020;133907;1278;1266.428571
11/02/2020;135141;1234;1254.857143
11/03/2020;136149;1008;1272.428571
11/04/2020;137310;1161;1217.857143
11/05/2020;138599;1289;1183.714286
11/06/2020;139891;1292;1180.428571
11/07/2020;141032;1141;1197.571429
11/08/2020;142143;1111;1200.428571
11/09/2020;143289;1146;1176.571429
11/10/2020;144385;1096;1164
11/11/2020;145599;1214;1176.571429
11/12/2020;146735;1136;1184.142857
11/13/20;147961;1226;1162.285714
11/14/20;149135;1174;1152.857143
11/15/20;150345;1210;1157.571429
11/16/20;151554;1209;1171.714286
11/17/20;152809;1255;1180.714286
11/18/20;154101;1292;1203.428571
11/19/20;155254;1153;1214.571429
11/20/20;156523;1269;1217
11/21/20;157785;1262;1223.142857
11/22/20;158990;1205;1235.714286
11/23/20;160055;1065;1235
11/24/20;161365;1310;1214.428571
11/25/20;162662;1297;1222.285714
11/26/20;163967;1305;1223
11/27/20;165250;1283;1244.714286
11/28/20;166502;1252;1246.714286
11/29/20;167753;1251;1245.285714
11/30/20;168860;1107;1251.857143
12/01/2020;170149;1289;1257.857143
12/02/2020;171434;1285;1254.857143
12/03/2020;172751;1317;1253.142857
12/04/2020;174062;1311;1254.857143
12/05/2020;175276;1214;1258.857143
12/06/2020;176429;1153;1253.428571
12/07/2020;177577;1148;1239.428571
12/08/2020;178837;1260;1245.285714
12/09/2020;180150;1313;1241.142857
12/10/2020;181405;1255;1245.142857
12/11/2020;182601;1196;1236.285714
12/12/2020;183755;1154;1219.857143
12/13/20;184949;1194;1211.285714
12/14/20;186041;1092;1217.142857
12/15/20;187267;1226;1209.142857
12/16/20;188545;1278;1204.285714
12/17/20;189866;1321;1199.285714
12/18/20;191150;1284;1208.714286
12/19/20;192404;1254;1221.285714
12/20/20;193575;1171;1235.571429
12/21/20;194652;1077;1232.285714
12/22/20;195878;1226;1230.142857
12/23/20;197124;1246;1230.142857
12/24/20;198435;1311;1225.571429
12/25/20;199665;1230;1224.142857
12/26/20;200892;1227;1216.428571
12/27/20;201836;944;1212.571429
12/28/20;202863;1027;1180.142857
12/29/20;204369;1506;1173
12/30/20;206092;1723;1213
12/31/20;207822;1730;1281.142857
01/01/2021;209678;1856;1341
01/02/2021;211641;1963;1430.428571
