time;inc_acu;inc_dia;inc_mm7
1/22/20;1;;
1/23/20;1;0;
1/24/20;2;1;
1/25/20;2;0;
1/26/20;5;3;
1/27/20;5;0;
1/28/20;5;0;
1/29/20;6;1;
1/30/20;6;0;0.714285714
1/31/20;8;2;0.714285714
02/01/2020;8;0;0.857142857
02/02/2020;8;0;0.857142857
02/03/2020;11;3;0.428571429
02/04/2020;11;0;0.857142857
02/05/2020;11;0;0.857142857
02/06/2020;12;1;0.714285714
02/07/2020;12;0;0.857142857
02/08/2020;12;0;0.571428571
02/09/2020;12;0;0.571428571
02/10/2020;12;0;0.571428571
02/11/2020;13;1;0.142857143
02/12/2020;13;0;0.285714286
2/13/20;14;1;0.285714286
2/14/20;14;0;0.285714286
2/15/20;14;0;0.285714286
2/16/20;14;0;0.285714286
2/17/20;14;0;0.285714286
2/18/20;14;0;0.285714286
2/19/20;14;0;0.142857143
2/20/20;14;0;0.142857143
2/21/20;16;2;0
2/22/20;16;0;0.285714286
2/23/20;16;0;0.285714286
2/24/20;16;0;0.285714286
2/25/20;16;0;0.285714286
2/26/20;16;0;0.285714286
2/27/20;17;1;0.285714286
2/28/20;17;0;0.428571429
2/29/20;25;8;0.142857143
03/01/2020;32;7;1.285714286
03/02/2020;55;23;2.285714286
03/03/2020;74;19;5.571428571
03/04/2020;107;33;8.285714286
03/05/2020;184;77;13
03/06/2020;237;53;23.85714286
03/07/2020;403;166;31.42857143
03/08/2020;519;116;54
03/09/2020;594;75;69.57142857
03/10/2020;782;188;77
03/11/2020;1147;365;101.1428571
03/12/2020;1586;439;148.5714286
3/13/20;2219;633;200.2857143
3/14/20;2978;759;283.1428571
3/15/20;3212;234;367.8571429
3/16/20;4679;1467;384.7142857
3/17/20;6512;1833;583.5714286
3/18/20;9169;2657;818.5714286
3/19/20;13663;4494;1146
3/20/20;20030;6367;1725.285714
3/21/20;26025;5995;2544.428571
3/22/20;34898;8873;3292.428571
3/23/20;46136;11238;4526.571429
3/24/20;56755;10619;5922.428571
3/25/20;68837;12082;7177.571429
3/26/20;86693;17856;8524
3/27/20;105383;18690;10432.85714
3/28/20;125013;19630;12193.28571
3/29/20;143912;18899;14141.14286
3/30/20;165987;22075;15573.42857
