"MKCD_SVM","SVM"
60603.7808493571,45414.8700780907
60603.7808493571,47951.4209376632
60603.7808493571,47922.8663541577
60603.7808493571,48232.4199182464
60603.7808493571,48956.8674967399
60603.7808493571,48651.1604173015
60603.7808493571,49319.1650085867
60603.7808493571,48879.3275459958
60603.7808493571,49506.358632616
60603.7808493571,51162.2323682539
60603.7808493571,49448.242144491
60603.7808493571,50129.1526249515
60603.7808493571,48911.9282942588
60603.7808493571,51052.1148037925
60603.7808493571,51427.1516721607
60603.7808493571,51963.7412251735
60603.7808493571,51773.949122829
60603.7808493571,51687.8695063728
60603.7808493571,51978.5686950661
60603.7808493571,51361.3923044046
60603.7808493571,53094.0329735463
60603.7808493571,54295.911271207
60603.7808493571,55679.108016949
60603.7808493571,57695.0643557076
60603.7808493571,58467.5107797232
60603.7808493571,57593.1289292544
60603.7808493571,57586.0654029641
60603.7808493571,60254.4971507162
60603.7808493571,59149.9271203577
60603.7808493571,58029.705415173
60603.7808493571,56533.8366976961
65971.8888734521,59819.6782089404
65971.8888734521,61867.5486205422
65971.8888734521,62130.7880973121
75270.30792305,66889.759654249
76229.7365923596,66249.8604784128
76967.5130184843,65781.3720354418
77966.7878405451,68401.5468952116
78960.4526660623,71451.8777674584
80239.1923650709,73407.0977776629
81196.6969248553,73322.1111829704
83435.3318857548,83115.3829336121
84852.675113736,82145.8751798623
85669.277497841,78356.1001584564
87154.316175126,83198.4605911045
88521.3958959523,85350.092935516
90489.43388951,89130.8121023228
92316.1129199336,90946.3364843789
95948.8450026545,105580.190465594
98651.4452319404,105179.635146002
99598.4989905896,96834.788617066
100960.966318458,102400.531129016
103018.050082516,109334.084446344
105231.817468731,112194.597140856
107337.667696017,112687.931397547
112619.178521584,136705.812814811
116397.878326012,135131.973692876
117724.93115013,123149.575125724
119836.338841065,131276.982760541
122672.341143435,141826.30727927
125201.279091553,141353.603308632
126983.365943902,138099.378590845
132416.664120588,167420.775967459
135949.283370482,162963.113316348
136168.056070673,145717.078903724
137796.360496703,154654.584433908
