"MKCD_SVM","SVM"
70319.3438131502,14985.8717793308
70322.313142088,14783.5324058304
70326.1758936525,14587.8390129342
70330.2337750309,14445.6141098828
70335.056977993,14314.2842276056
70342.3785025526,14231.0441098778
70352.9089892057,14409.5589729326
70367.9490491883,15209.3348561406
70387.75480576,17053.8711673723
70407.6986642916,19473.3000487201
70435.4714428462,23673.1110672587
70476.1310627675,29422.773756329
70536.1274987613,34431.5433012159
70628.2483123502,35743.8047929714
70768.6670851067,36857.2646340965
70949.1174640846,37557.1850835158
71183.5149231851,38139.4222153112
71483.0651099393,38487.0909768115
71838.4429063341,38665.1086934894
72239.8223928547,38173.7502651016
72721.0747421891,38015.9401995329
73290.4221793097,38068.7859588014
73939.2187628204,37784.9002301056
74630.0550558853,37508.2541823923
75357.4832191724,37362.377003644
76162.2423876395,37016.0042461398
77067.0092341767,36853.1021298678
78035.7606846715,36683.6671525394
79049.5853186741,36536.3816976435
80090.0014177823,36655.0315706623
81075.3383288535,36575.1327720094
81990.0305031765,36348.9825982554
82839.480745802,36053.9447212306
83615.0278706334,36148.2541796141
84329.6830453649,36057.5646766815
84999.7434098495,36189.0913038816
85546.1426279646,36184.8970548776
85986.6809088862,36058.5398938999
86293.5659108577,35647.9488477675
86461.2285181229,35516.0823484857
86458.008040314,35207.3533556596
86382.939813239,34740.5206429235
86284.7459196186,34372.8020846315
86150.4556317672,34031.3227133353
85969.0590235602,33450.4298556848
85743.3618662695,33135.1344095999
85499.0793696443,33017.7919880725
85289.7802571287,32584.9256672093
85088.1280363585,32415.7833010046
24080.12603703,31689.5007973156
23892.4159053792,31459.4869324708
23441.7392216209,31038.0877989171
23288.1831608299,30916.384812903
31002.7205546343,30661.6826742345
30870.4483671039,30530.4279086376
30762.3146575074,30412.2628523593
30542.8238070294,30218.3210648985
30236.1372511936,29923.458146385
30329.9640710618,29984.5161823396
30270.5920615295,29944.6566693788
30042.9368950147,29708.1335465999
29929.8534157909,29590.9142350049
29589.1053725475,29255.7255122191
29581.9338018925,29231.0926097678
29528.2498469358,29197.6759156293
29570.6069789443,29239.6684704664
29210.9218324358,28910.0788918758
29271.057090495,28921.1643056464
29046.5735376607,28707.1402526541
28775.8099298118,28422.5535078186
28891.3101163725,28548.2298204385
28897.0738982361,28547.0457967098
28730.4726712733,28397.521614866
28667.1057419815,28322.5655157639
28583.9146101641,28233.2732651913
28755.6813041099,28414.2510813251
28832.2365781189,28471.52412809
28829.8911539485,28499.537395683
28954.0194262641,28643.2882810487
28943.4606507692,28611.0956728669
29120.1839015373,28781.4674163656
29260.7585323198,28934.7361292555
29804.6357958203,29435.2924707435
30283.5943245505,29942.1517147139
30736.1256029316,30380.7020372153
31517.6238402513,31194.7534460259
32033.454502401,31694.9528709246
33073.4604365857,32733.9380483432
34393.7120301768,34084.217599493
35470.4264043136,35119.0967856132
36688.8056091229,36342.4541470354
38209.7736360022,37874.8162600032
39341.4568789867,39038.3047942137
40907.9556636214,40563.6001257136
42452.6996806194,42114.0375604575
44068.9512547158,43722.3300395041
45827.728614632,45476.2618269468
47858.8974733667,47498.5932868771
49256.9529901194,48890.7890087671
50209.3007215639,49858.4372676188
51748.8795019399,51694.9174917568
52822.8747719512,52460.5185803698
54501.0474219074,54200.2177416379
48288.874113659,55907.6002323577
49875.9837710826,57486.4270445453
51482.8049444614,59060.4250795418
81560.5528520248,60395.0170325813
81890.7858076039,61658.8403432618
82267.409340925,62906.507487558
82761.274040088,64462.1581234143
83302.739447055,65639.0534241443
83911.8390253483,66998.7492774502
84607.2433374962,68522.7927699774
85313.4980592545,69694.251699558
86072.2192017357,70397.3898461499
86829.5511349504,71743.6361052563
87622.520688315,72016.009009592
88470.8814433474,72798.0399120185
89399.7126345885,73176.8419175955
90310.2270099872,73584.1437028546
91124.5176957772,73916.1357194012
91932.9428580842,73658.3945977411
92615.2476628989,73490.0495931817
93305.5027583814,73387.2903335844
94059.5671515307,73676.9668324087
94832.1447311456,73043.0083497071
95624.3245574429,72839.0917049104
96426.4875000632,72353.5918088886
97090.5461356967,71289.0912893583
97780.6606832946,70103.4189166524
98464.3857763011,69697.054968615
99116.06384838,68577.604747209
99797.5780648591,67895.080241572
100535.896393897,66909.4803444862
101234.236663324,66122.1147115989
101762.876093209,65477.997624785
102329.330607859,64822.0947527901
102682.486038647,63506.7182290771
103034.22073559,62376.0722257481
103348.407023027,61222.2435007265
103596.79972362,61001.8579885689
103801.200656745,60302.5146558539
103902.927984541,59897.1991742201
103821.81194619,59232.8669559466
103697.891462686,58252.1591817045
103611.389176693,57742.5618416643
103438.787302228,56649.604344583
103255.140047418,55900.3128375227
103052.082183261,55111.7703889879
102775.293831474,54287.218514907
102295.102683941,53492.6263968337
45357.2806350476,52947.733410497
44576.5249309979,52168.7236820661
44163.7770597528,51749.8031395645
50769.7403389392,50424.0448548778
50457.1643620609,50161.6206327053
50121.6668773166,49782.332397134
50029.8097341327,49676.2642834546
49811.3662556283,49460.9439978527
49354.8186777458,49010.7206340061
49359.1235696724,49063.4004177296
49490.3912931585,49138.4614874402
49472.0460561394,49176.8227131671
49263.0148403454,48927.8702941651
48352.7385839708,48009.3494732598
47399.4129632997,47102.0563170593
46613.3349318758,46277.6595170165
45944.0340737947,45641.24688986
46029.7113968554,45675.4718544559
45890.4016484013,45559.5830570231
45901.9925284332,45589.1908400066
45828.6635503907,45518.9207855428
45665.5008798419,45321.2067395388
45522.2840522331,45182.2674810453
45569.4099677759,45233.5994285355
45504.2591457626,45195.1876733232
45423.3438850522,45092.5777776264
45939.1891225336,45610.3503909652
47961.5430005842,47628.981944157
48860.5587058859,48535.3031395645
49227.2457947034,48892.2780390649
50019.9315411876,49679.8055895957
50050.5947326199,49718.2335952552
50315.5329504504,49975.9964050937
50555.294018461,50199.2837647222
50449.8024389698,50150.3485300243
50734.9649334783,50412.4697696052
50764.3242192239,50452.4687470126
50785.7373327269,50459.6468393042
51214.0301883883,50864.5902204188
51652.8475430467,51333.8236696677
51456.8507486884,51125.6482480339
50573.6542564005,50233.162122539
50956.1751955195,50620.1350432483
51822.7548789463,51506.7074457935
52651.5992999592,52296.8109027605
53217.7784735568,52876.5627421774
53959.9890581518,53608.8074560626
54539.9502186401,54213.3990610417
55174.8026565641,54819.4300892131
55811.2343786277,55455.868062771
57238.3230919456,56906.3489573237
58641.5270116009,58279.1949834955
51725.8193397458,59295.7472132203
52309.4761356632,59912.0204069746
53248.9571956954,60872.2525931251
91621.6335383711,62913.0532794393
91794.8209358632,64101.622165899
