"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","A","B","mk_pvalue","S","Class"
"1",1,1,1,3,1,1,1,8.9170282840346e-17,1.28571428571429,1,0,"None"
"2",1,1,3,1,1,1,1,-0.0714285714285713,1.57142857142857,0.802587348634153,-2,"None"
"3",1,3,1,1,1,1,2,-0.0357142857142856,1.57142857142857,1,1,"None"
"4",3,1,1,1,1,2,1,-0.142857142857143,2,0.703771314393708,-3,"None"
"5",1,1,1,1,2,1,1,0.0357142857142857,1,0.802587348634153,2,"None"
"6",1,1,1,2,1,1,3,0.214285714285714,0.571428571428571,0.253993266749784,7,"None"
"7",1,1,2,1,1,3,1,0.107142857142857,1,0.703771314393708,3,"None"
"8",1,2,1,1,3,1,1,6.29437290637736e-17,1.42857142857143,1,-1,"None"
"9",2,1,1,3,1,1,1,-0.107142857142857,1.85714285714286,0.446974232396287,-5,"None"
"10",1,1,3,1,1,1,1,-0.0714285714285713,1.57142857142857,0.802587348634153,-2,"None"
"11",1,3,1,1,1,1,1,-0.142857142857142,1.85714285714286,0.453254704753736,-4,"None"
"12",3,1,1,1,1,1,1,-0.214285714285714,2.14285714285714,0.21129954733371,-6,"None"
"13",1,1,1,1,1,1,1,0,1,NA,0,"None"
"14",1,1,1,1,1,1,1,0,1,NA,0,"None"
"15",1,1,1,1,1,1,1,0,1,NA,0,"None"
"16",1,1,1,1,1,1,1,0,1,NA,0,"None"
"17",1,1,1,1,1,1,1,0,1,NA,0,"None"
"18",1,1,1,1,1,1,1,0,1,NA,0,"None"
"19",1,1,1,1,1,1,1,0,1,NA,0,"None"
"20",1,1,1,1,1,1,1,0,1,NA,0,"None"
"21",1,1,1,1,1,1,1,0,1,NA,0,"None"
"22",1,1,1,1,1,1,1,0,1,NA,0,"None"
"23",1,1,1,1,1,1,1,0,1,NA,0,"None"
"24",1,1,1,1,1,1,2,0.107142857142857,0.714285714285715,0.21129954733371,6,"None"
"25",1,1,1,1,1,2,1,0.0714285714285715,0.857142857142857,0.453254704753736,4,"None"
"26",1,1,1,1,2,1,1,0.0357142857142857,1,0.802587348634153,2,"None"
"27",1,1,1,2,1,1,1,7.8679661329717e-17,1.14285714285714,1,0,"None"
"28",1,1,2,1,1,1,1,-0.0357142857142857,1.28571428571429,0.802587348634153,-2,"None"
"29",1,2,1,1,1,1,1,-0.0714285714285713,1.42857142857143,0.453254704753736,-4,"None"
"30",2,1,1,1,1,1,1,-0.107142857142857,1.57142857142857,0.21129954733371,-6,"None"
"31",1,1,1,1,1,1,1,0,1,NA,0,"None"
"32",1,1,1,1,1,1,8,0.75,-0.999999999999999,0.21129954733371,6,"None"
"33",1,1,1,1,1,8,7,1.14285714285714,-1.71428571428571,0.128275346283049,9,"None"
"34",1,1,1,1,8,7,23,3.03571428571429,-6.14285714285714,0.0445027779336697,13,"Positive"
"35",1,1,1,8,7,23,19,3.71428571428571,-6.28571428571428,0.0414936954270237,14,"Positive"
"36",1,1,8,7,23,19,33,5.25,-7.85714285714285,0.022687071535486,16,"Positive"
"37",1,8,7,23,19,33,77,10.3571428571429,-17.4285714285714,0.0162609367804503,17,"Positive"
"38",8,7,23,19,33,77,53,10.1785714285714,-9.28571428571428,0.0354981313206625,15,"Positive"
"39",7,23,19,33,77,53,166,21.25,-31,0.0162609367804503,17,"Positive"
