"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","A","B","mk_pvalue","S","Class"
"1",1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,-0.0181818181818182,1.43809523809524,0.452500328574369,-16,"None"
"2",1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,-0.0246753246753247,1.50952380952381,0.29291225106991,-22,"None"
"3",1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,-0.0311688311688312,1.58095238095238,0.176293549680059,-28,"None"
"4",3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,-0.0376623376623377,1.65238095238095,0.0983803501722191,-34,"None"
"5",1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0155844155844156,1.31428571428572,0.338692165878931,-17,"None"
"6",1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0194805194805195,1.35714285714286,0.231719704580291,-21,"None"
"7",1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0233766233766234,1.4,0.151250389799926,-25,"None"
"8",1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0272727272727273,1.44285714285714,0.0940683216584019,-29,"None"
"9",2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0311688311688312,1.48571428571429,0.0556834205680141,-33,"None"
"10",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-0.00779220779220784,1.22857142857143,0.904804718192754,3,"None"
"11",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-0.0116883116883117,1.27142857142857,1,-1,"None"
"12",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,-0.0155844155844156,1.31428571428572,0.810959700134834,-5,"None"
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0.00909090909090905,0.947619047619049,0.283073893152809,14,"None"
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.00779220779220775,0.961904761904763,0.363722327380711,12,"None"
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0.00649350649350645,0.976190476190477,0.457390543168855,10,"None"
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0.00519480519480516,0.990476190476192,0.563260084128636,8,"None"
