"","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"1",0,1,0,3,0,0,1,0,2,0,0,3,0,0,-1.47214139574591e-17,0.714285714285714,0.897207949057173,-3,"None"
"2",1,0,3,0,0,1,0,2,0,0,3,0,0,1,-0.0153846153846154,0.901098901098901,0.901973056130859,-3,"None"
"3",0,3,0,0,1,0,2,0,0,3,0,0,1,0,-0.0307692307692308,0.945054945054945,0.897207949057173,-3,"None"
"4",3,0,0,1,0,2,0,0,3,0,0,1,0,0,-0.0747252747252747,1.27472527472527,0.438259806471752,-13,"None"
"5",0,0,1,0,2,0,0,3,0,0,1,0,0,0,-0.0197802197802198,0.648351648351648,0.781340466967976,-5,"None"
"6",0,1,0,2,0,0,3,0,0,1,0,0,0,0,-0.0505494505494506,0.879120879120879,0.405003901151672,-13,"None"
"7",1,0,2,0,0,3,0,0,1,0,0,0,0,1,-0.0527472527472527,0.967032967032967,0.559635262985094,-10,"None"
"8",0,2,0,0,3,0,0,1,0,0,0,0,1,0,-0.054945054945055,0.912087912087912,0.677147397182299,-7,"None"
"9",2,0,0,3,0,0,1,0,0,0,0,1,0,1,-0.0571428571428571,1,0.845814838625758,-4,"None"
"10",0,0,3,0,0,1,0,0,0,0,1,0,1,0,-0.0263736263736264,0.626373626373626,0.88890804159074,3,"None"
"11",0,3,0,0,1,0,0,0,0,1,0,1,0,0,-0.0527472527472527,0.824175824175824,0.779959265939651,-5,"None"
"12",3,0,0,1,0,0,0,0,1,0,1,0,0,0,-0.0791208791208791,1.02197802197802,0.401965358356735,-13,"None"
"13",0,0,1,0,0,0,0,1,0,1,0,0,0,0,-0.0065934065934066,0.263736263736264,0.876269663627762,-3,"None"
"14",0,1,0,0,0,0,1,0,1,0,0,0,0,0,-0.0197802197802198,0.362637362637363,0.533416513472694,-9,"None"
"15",1,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.0329670329670329,0.461538461538461,0.275757847827509,-15,"None"
"16",0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0131868131868132,0.241758241758242,0.648076868139146,-6,"None"
