"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","x_22","x_23","x_24","A","B","mk_pvalue","S","Class"
"1",1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,-0.0186956521739131,1.44202898550725,0.296117363653176,-25,"None"
"2",1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0230434782608696,1.4963768115942,0.191554349545143,-31,"None"
"3",1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0273913043478261,1.55072463768116,0.117069428043041,-37,"None"
"4",3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0317391304347826,1.60507246376812,0.0674906477574241,-43,"None"
"5",1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0143478260869565,1.30434782608696,0.251237398688724,-23,"None"
"6",1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.0169565217391305,1.33695652173913,0.175112550197944,-27,"None"
"7",1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-0.00956521739130438,1.28623188405797,0.727640980066958,-9,"None"
"8",1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-0.0130434782608696,1.32971014492754,0.542216790175154,-15,"None"
"9",2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,-0.0165217391304348,1.3731884057971,0.383938102642127,-21,"None"
"10",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-0.00913043478260872,1.23913043478261,0.916927740980097,-3,"None"
"11",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-0.0117391304347826,1.27173913043478,0.754346478610989,-7,"None"
"12",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,-0.0143478260869565,1.30434782608696,0.60200298524729,-11,"None"
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0.00478260869565216,0.981884057971015,0.470100759874129,11,"None"
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0.00391304347826085,0.992753623188406,0.563363980394146,9,"None"
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,0.0730434782608695,0.420289855072464,0.117684505421042,31,"None"
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,0.126086956521739,0.00724637681159521,0.033080384632219,50,"Positive"
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,0.333913043478261,-1.67391304347826,0.00792718041706986,70,"Positive"
"18",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,0.482608695652174,-2.78260869565217,0.00248760108850884,87,"Positive"
"19",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,0.755652173913043,-4.86231884057971,0.000641684649275502,105,"Positive"
"20",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,1.44086956521739,-10.2608695652174,0.000170398220585629,122,"Positive"
"21",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,1.82,-12.8333333333333,6.00896418438247e-05,136,"Positive"
"22",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,3.28391304347826,-24.2572463768116,1.70969771194441e-05,151,"Positive"
"23",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,4.10434782608696,-29.7210144927536,6.55829309326549e-06,163,"Positive"
"24",1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,4.41478260869565,-30.518115942029,4.46908101003734e-06,170,"Positive"
"25",1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,5.79086956521739,-39.9275362318841,1.46690448655065e-06,182,"Positive"
"26",1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,8.77434782608695,-62.0543478260869,5.05282193079416e-07,193,"Positive"
"27",1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,12.1813043478261,-86.3913043478261,1.83779401462199e-07,203,"Positive"
"28",1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,17.1473913043478,-122.134057971015,7.10664098792783e-08,212,"Positive"
"29",1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,22.8239130434783,-161.507246376812,2.9437776735766e-08,220,"Positive"
"30",2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,22.5913043478261,-148.891304347826,4.19000380880977e-08,219,"Positive"
"31",1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,34.4969565217391,-236.670289855072,5.3872158773517e-09,233,"Positive"
"32",1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,48.7778260869565,-338.847826086957,2.59141610848073e-09,239,"Positive"
"33",1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,69.705652173913,-489.778985507246,1.37299924177788e-09,244,"Positive"
"34",1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,106.693913043478,-764.923913043478,8.09325977580922e-10,248,"Positive"
"35",1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,158.505217391304,-1147.3152173913,5.36265367266748e-10,251,"Positive"
"36",1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,201.060869565217,-1429.51086956522,5.53935744942509e-10,251,"Positive"
"37",1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,267.184347826087,-1886.38768115942,4.78783657001689e-10,252,"Positive"
"38",8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,349.243043478261,-2443.91304347826,4.78783657001689e-10,252,"Positive"
"39",7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,415.41652173913,-2828.95652173913,4.78783657001689e-10,252,"Positive"
"40",23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,486.982173913043,-3220.40217391304,4.78783657001689e-10,252,"Positive"
"41",19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,605.961739130435,-3964.60507246377,3.48481207740489e-10,254,"Positive"
"42",33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,717.730869565217,-4583.76086956522,3.48481207740489e-10,254,"Positive"
"43",77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,822.81652173913,-5080.78985507246,3.48481207740489e-10,254,"Positive"
"44",53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,904.029565217391,-5311.70289855072,2.53031330334907e-10,256,"Positive"
"45",166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,1000.3747826087,-5598.4347826087,2.53031330334907e-10,256,"Positive"
"46",116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,1121.18869565217,-6019.10869565217,1.32442552590118e-10,260,"Positive"
"47",75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,1278.01173913043,-6640.77173913043,9.54740218055239e-11,262,"Positive"
"48",188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,1406.37260869565,-6905.28260869565,1.32442552590118e-10,260,"Positive"
"49",365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,1508.51652173913,-6844.6231884058,1.32442552590118e-10,260,"Positive"
"50",439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,1585.96217391304,-6477.23550724637,9.54740218055239e-11,262,"Positive"
"51",633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,1610.95173913043,-5563.02173913043,2.53031330334907e-10,256,"Positive"
"52",759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,1627.49173913043,-4488.60507246377,6.56227603548261e-10,250,"Positive"
"53",234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,1612.52391304348,-3051.17391304347,2.26086339231286e-09,242,"Positive"
"54",1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,1570.00565217391,-1229.77898550724,1.00538982404535e-08,232,"Positive"
"55",1833,2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,1561.45956521739,313.463768115944,1.00538982404535e-08,232,"Positive"
"56",2657,4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,1511.65434782609,2293.61231884059,1.34530812377285e-08,230,"Positive"
"57",4494,6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,1389.62347826087,4922.03985507246,2.17036899802815e-07,210,"Positive"
"58",6367,5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,1245.79,7668.33333333334,3.51077069055209e-06,188,"Positive"
"59",5995,8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,1099.27304347826,10356.5869565217,4.26330474086374e-05,166,"Positive"
"60",8873,11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,949.341739130434,13180.1449275362,0.00038960077113497,144,"Positive"
"61",11238,10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,777.469130434782,16018.8442028986,0.00506457562761041,114,"Positive"
"62",10619,12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,662.846956521739,18234.8297101449,0.0161270687117826,98,"Positive"
"63",12082,17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,555.101304347826,20515.4420289855,0.0210654435485145,94,"Positive"
"64",17856,18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,392.79,23204.75,0.106899675879221,66,"None"
"65",18690,19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,261.096956521739,25194.2463768116,0.47193904041631,30,"None"
"66",19630,18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,168.623913043478,26814.2427536232,0.901297844156357,6,"None"
"67",18899,22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,37.5730434782605,28714.3369565217,0.441931012011212,-32,"None"
"68",22075,26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,-77.470434782609,30567.3804347826,0.14334161203712,-60,"None"
"69",26314,32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,-119.543043478261,31572.2463768116,0.11812849523842,-64,"None"
"70",32243,32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,-137.965217391304,32053.0652173913,0.0965338291080209,-68,"None"
"71",32235,32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,-116.480434782609,31707.5471014493,0.157405663974874,-58,"None"
"72",32287,32416,29877,31381,30767,31192,35941,34415,29130,27255,26930,28781,25440,30035,33030,27932,26096,29828,25917,28859,33570,32327,30396,26501,-132.42652173913,31667.9565217391,0.106899675879221,-66,"None"
