"MKCD_SVM","SVM"
67201.565536035,59687.9465206191
60312.6753788185,61857.3787121247
59047.4235333984,62061.364595541
55481.4658763603,58126.1018476786
58599.464905126,58744.2791642332
59656.7890697047,62760.5246508219
61722.4442345697,66849.3549738122
72700.234192451,67197.0535226245
73827.1941647748,66804.0901063064
74134.5671147027,67285.2411517007
68484.8370592714,69408.6014468088
67689.4801393291,70343.5698546835
67109.6232872778,67611.0533769574
70657.2090897031,71219.3629509245
70337.7090906336,72468.3423718359
79096.746688466,73007.479274084
68162.7068977866,71973.5570089565
71842.4848742087,76380.7116168416
76913.6796260749,80155.6997028866
75849.6434104571,78441.7012791855
73423.7382006893,75919.4833203148
69417.7646621999,73038.3886019519
69073.9899313459,70295.1323573666
68042.7652932069,69268.3613675927
63718.5787612739,65455.2249363042
52985.4563492872,54908.4166724939
51245.9637314196,53370.1440190257
57505.6476000907,55620.1695876385
56363.4174319316,56067.3849398449
55652.7728398618,51909.1993067739
48863.5942850992,51327.4906438716
49778.0608945145,51907.0277937464
59350.9539316269,48416.5037200663
58261.2049857831,45617.3914928651
57645.4017660463,45553.3105769795
57350.8736662856,44449.6423331732
56644.3989877637,43541.3987217003
56092.8628964518,44393.4905287596
55327.5480797445,42799.1377517526
55473.4366510506,45698.9861235097
55258.3675944659,46076.2069090349
54020.5569177991,43918.9064068116
51687.3784423512,39012.9135134523
50049.2127226523,42736.1484469785
48579.1640978234,43859.9138688404
46903.3724154203,38188.7583427319
45526.5319527259,33927.0321930055
44479.1958577867,35270.5965253529
45441.5393953302,45003.5219374951
45610.2182108303,43706.1115816535
45959.4039293109,42578.0318312637
45315.713672928,42896.4404684729
44661.820499175,44521.7821509823
43625.8202036075,44741.7300251028
42171.8363873284,43017.3170513979
41006.3956667242,37850.2225253344
40212.9184726467,38193.423195891
39560.1072180172,37306.83187998
39463.833894721,38609.1041724433
39846.760559529,37074.3766802235
40070.4269607935,35061.1239649927
39548.3839246875,34943.9222836573
37115.7413182346,29738.1668488409
35835.9383015725,31448.7365381244
35404.5736987424,31416.2292009271
36303.0348687127,31999.2639679998
36385.7015410725,29497.4294522699
36402.9384664019,28021.7000431953
36404.3697487354,28671.684272308
36424.8193192461,31582.4163136446
36487.5079664748,31444.0810427465
35836.0673195083,30404.6104675402
35272.499585041,30010.0460321133
34808.7210942252,32940.0282610636
34660.999437022,34320.1578301086
34716.0783096418,32756.0897126834
34072.3830228267,27023.3890650898
32936.7389711393,25464.9093121225
31580.5062891385,28431.8154280324
30520.5835257908,28534.6851163348
30439.1513605384,28047.684041856
30203.7682364442,26445.841049748
30103.381100776,26121.3124812118
29648.1443239579,26201.3707656855
29232.1344941611,25810.7592038175
29114.476259291,25838.8626022739
28840.5701173764,25544.9121450793
