"MKCD_SVM","SVM"
2022.46471244802,813.724817344308
2022.10440647353,813.650012665174
2023.18117437382,814.463145801601
2023.62814003828,815.027412498937
2024.41279182455,815.876240081823
2025.11499059599,816.421403409149
2027.09738416879,818.205869155136
2041.52258089743,832.681761914406
2038.65954372991,831.792564100942
2039.47414807161,829.449719270902
2042.9238452559,833.701752663612
2061.01928720424,853.439780949921
2066.19293246924,857.851351402605
2102.11762697656,888.67061310717
2112.18771815345,906.368256025104
2142.05569095921,933.617866913701
2213.76722955359,1001.32477116831
2253.62059221338,1050.24135994538
2283.46232206255,1071.62093776155
2310.53426301831,1089.48806470135
2345.50499837339,1130.59549125786
2384.76997952195,1165.32362560338
2438.78242717831,1198.91041247464
2437.37636163208,1200.73531235335
2444.58771090467,1204.88390315694
2579.86878230483,1323.98485203906
2692.49286233048,1460.63150043535
2802.12979639484,1557.33944365956
2873.32763322828,1613.1199917573
2966.34241043682,1719.58983369717
2974.02980338116,1738.24519300597
3070.76651293942,1781.51955398388
3226.44174817148,1937.67626096898
3406.67685151241,2138.79821140231
3533.80036246555,2233.25035777583
3573.83385134589,2275.94228756549
3555.27202697328,2283.57508740269
3702.0223461894,2393.24732580364
3763.29617045899,2430.11103563887
3787.4943140109,2449.57642660069
3986.78533274095,2634.61287019379
3984.54806742225,2667.82489496645
4244.1272077236,2914.73864269581
4444.89032511094,3113.6991676227
4468.12334572285,3146.15893539923
4473.59097812835,3135.56640356914
4502.38975308492,3174.12577942629
4515.5110394372,3216.41066915149
4865.3966798328,3533.48232111398
5089.03781402246,3747.33098906399
5510.66998745512,4188.09469173007
5639.9578939429,4350.50140710071
5928.66333186116,4649.75684468213
6333.89433641146,5110.57861109162
6825.25444091319,5556.37080264821
7380.9525147966,6074.37718528962
7380.52334061809,6074.81086904021
7374.65532832696,6008.14638389042
7550.11509726032,6147.33461019395
8061.25732929307,6638.2786590066
8370.34137197656,6895.96317031104
9231.60296040091,7668.43331048379
9377.89310801961,7995.17619140014
10201.4411635732,8827.22571984342
10650.0236465786,9224.36947741386
10832.4251663192,9384.44218092307
10887.7004383908,9283.76827591004
11079.8132637715,9386.33967736668
11293.0975971111,9704.11175271773
11921.6196521677,10310.9194584919
13149.215726762,11484.4891793693
13649.1913646856,12187.12123122
13569.6810075636,12057.507486607
14418.6358907732,12790.0144044999
15461.2393459246,14213.4050996926
16726.7546436524,15292.2542254045
17599.8205804957,15926.8284639629
18134.6107323193,16533.2802832441
18341.7019568153,16998.3985771261
19290.9048555442,17517.4285419333
19095.369178784,17446.2751747214
19410.6732487358,17705.7307532215
20029.5190268305,18174.9651954393
21171.2035861904,19512.3990013282
22271.3214375962,20783.0317001029
25034.6599861553,23264.0599027441
24792.7141657399,23315.6486304653
23744.3020853795,22062.7682785728
25359.4467146535,23337.5784374345
25857.2961650965,24590.3864292202
27137.0361081804,25512.7931773258
27907.154413972,25742.5197084813
27629.191490295,26089.1600545965
27230.8236416585,26027.8087980373
27857.050463346,25982.9941923845
29333.4569229625,27697.6797200432
30337.1496504984,29275.3711214221
30293.2024390467,28533.7983137349
28709.140491308,27498.6536472669
27200.3246065785,26337.3099441329
28037.2459909912,26642.9603423517
28305.2476806721,26780.7972950752
28425.1995285654,27214.4178570308
27788.6174801944,26902.3526778561
25762.002710685,25373.89398292
29860.3175018196,29989.642278151
32027.8332451619,32405.5837325964
31161.1816347828,30788.8024401882
30560.1009222354,30189.8504187829
31375.9924370473,32222.8952229873
33229.1951557549,34218.2718792815
34993.5999531512,35081.0403963852
36312.493710597,36293.9213241294
36238.5711526593,36865.3760313878
37436.255282165,37397.3762204029
37147.4585191807,37864.2396736707
36804.8339239661,37597.170224399
39145.2456644391,38493.1053321778
40933.0089488569,40632.83892457
38730.4951220526,38568.8397936844
38662.3168284256,37746.8295478771
37897.6233288435,37607.1665613619
37688.7529843539,37891.3713232225
39514.662767706,38116.9862004408
38248.3312475617,37618.932055921
36690.1139893745,37386.2946129469
38234.6316540536,38050.7153413849
38796.1791022504,38925.9238897571
37616.2593972229,38728.7711310082
37432.1010606708,37347.5777584313
37004.8817175266,37030.0501265182
35361.1178646456,37360.5437408887
37176.9375540926,38260.2746117234
34074.6199891734,35627.5280543601
36607.0763815348,34040.2273233894
35931.9601658022,35214.1382345895
34633.740069466,35083.7863614829
35475.8076355032,34444.1608922024
37466.3603397043,38356.5625258493
39042.3895531958,41361.9183890781
43022.4603034768,43098.9679186143
47371.7722381239,44188.279293708
46195.2379332338,43670.718723109
46503.6067201644,43498.467058428
44703.616142552,43596.8383002678
44005.8019706755,46420.275432936
44135.6070299596,46768.5637822991
46359.1625702779,47079.1655553415
46319.4595594372,47554.5343538202
46033.0251156285,48004.2793385064
45845.1092559637,46344.5101668425
46755.8965917641,47026.5217558838
44830.628435711,45708.2456666234
44709.8123294856,44815.8265009101
43006.8794982369,42733.0884494633
42643.9434547861,43277.5108288653
42323.9937954406,42528.3393692645
41840.5256959615,41574.0561388962
41232.0304364118,42849.5358434042
41117.2670385367,43098.7325339336
45203.7395811655,44270.7210009457
43059.246333571,45381.6845047547
43647.7465419785,46455.7941880194
41819.3120419519,44905.511085268
42465.5794323423,44653.8202457798
43685.87640243,44468.2751258674
42825.795986265,42902.3298824064
42406.7569104439,40473.7088108504
41526.7418593667,38188.6663677478
40953.4387063435,38437.2917408451
40707.369079496,39214.3209076399
40692.7402914592,38850.4652312048
40786.8464568215,39039.8003686207
40676.3370647331,37748.6919115112
40365.0242449541,36346.9506435956
39955.5678124381,36916.5372234764
39635.7260300086,36905.7289667886
39403.6376196657,36408.0743669819
40018.4374941284,40677.591020978
40416.6302754915,40553.2801199342
40741.4456906954,39981.8529244978
40595.9837516115,39718.6206183724
40884.035522163,42540.2001750227
40248.360270291,39813.2966057335
39101.5000943037,38140.6862162944
37728.4789604511,36021.98796925
36066.2960043834,32420.4579412914
34879.9192137752,29924.5066660134
34238.331780913,29696.2592951281
34513.6456472839,29778.3771697163
34637.0694000983,29082.9948985566
34978.1845497119,29222.0955775482
34612.1328159388,28813.5957912756
34372.8734755396,29975.5230816028
34060.1701425622,28513.5239258204
33920.173235707,29146.5953479861
33289.4124331473,28563.0372093837
32969.0899616117,28554.0750113267
33079.0647916457,28849.1859829205
33595.94016395,31340.5661926339
34295.1978899386,31955.6604853029
33494.540588521,26584.4390953004
33117.2907145636,30834.8570316592
31930.8478963976,30921.5426130871
31373.2450874051,30576.2999575861
30634.802661883,29443.8280927167
30198.4119279507,27783.4339787911
29775.5249554291,26127.5331182668
29185.1673178995,27136.7870191019
28921.7140868925,25829.2900319527
27633.572422737,20973.6535098405
27670.3022095168,24724.2314982471
27500.5400597004,25872.5145944788
27945.9980394072,26552.4001264829
28430.4266158112,28168.0174410543
29779.3981536629,31776.0149713081
29818.9109580993,27353.2781259744
29120.3388664261,27223.0523721061
28062.015418876,25422.2817543312
27670.3767506553,28055.7080045976
26927.4162408025,24804.3958622336
25950.7193601801,21203.6285660299
25225.8128863035,20245.2178668276
24760.6559443434,21123.5720537995
25936.6615583196,23684.9344692231
25948.6082354087,21124.5389085694
25586.0065255228,19350.2197079093
25175.3908935441,21031.5503239389
25107.7862441973,23142.2653971188
24863.8526373214,23789.8247286314
24608.7849609113,20999.4266927273
24739.2886509168,19484.8793326275
24634.2105196214,22078.7147647814
24409.5907145397,21970.7768094332
24728.1891125701,23974.4201807396
25381.2767062662,25661.9243582217
25912.2757396338,24711.0092205354
25597.3093586101,25032.5353933422
24738.2775808469,25951.2608872824
24945.3076800783,23046.066750553
25339.4148306981,22922.3634797579
22612.8181334189,22325.2802146282
21394.7567633006,17837.7394436761
23628.9024684438,17138.3915167023
18967.4410103164,14684.2164012834
21927.8045707098,17525.4871308331
20308.2486238358,17893.3585411557
19009.8933939137,17120.9080772818
19359.3296608973,17492.8112240409
21657.1765162444,19309.8140727923
22450.4451865426,23748.0791030828
23391.1754243721,25120.1704070151
24236.9267708188,23909.9992266274
24680.9459380449,26461.2165571051
29170.3461467971,28059.8838444331
28700.3455273682,27384.1539809628
32810.8569229898,29585.7425568129
30833.6408980599,30403.7510866993
32862.3352258409,32722.0586050526
34220.7035057237,31390.0649530341
31749.1658609445,32051.7276750879
32365.7060817525,32113.0093568501
33210.0265312731,32105.505903603
32110.4587344745,30682.4542905007
32462.784388848,30918.3431044818
31185.697582208,29973.6239098796
31711.4107577016,30741.4478420642
35054.5848228913,33348.432382926
35544.1268765916,34435.5709358308
35093.2296156619,34121.4329908879
37717.4757913194,36642.8885595145
38977.4871457207,39587.6317228239
43039.3916683387,42910.8051433948
42559.2499586484,42546.8719305437
42654.9736757048,41991.1996973234
42578.3926384831,42758.5147407608
42199.3198627563,41894.8559654273
43941.588773208,43873.8270195887
43024.1594479807,42959.450419503
44104.7232132917,43455.3450203689
45762.7252519424,45629.3472566483
43895.6449406626,44318.8559868707
43515.2321942136,43086.6426001104
43801.7412465797,43189.1453493058
41961.274830999,42181.3669770303
45846.8803423781,45172.5073994572
47542.1202805264,47403.9765184826
46132.8158198138,47267.762845799
47418.3740336345,47587.7190435194
46786.0995455737,47421.680084398
46461.1190887547,48282.1343568368
48990.7568597627,49434.6474280716
46009.9042425662,46724.4313571875
45506.3016135293,46970.738447858
42075.7455556701,43320.8451394572
37180.3038283074,37794.9203627102
36530.753252879,37463.3504301381
