"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","x_22","x_23","x_24","x_25","x_26","x_27","x_28","x_29","x_30","A","B","mk_pvalue","S","Class"
"1",1,1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-0.00978865406006676,1.35172413793104,0.648279259241851,-16,"None"
"2",1,1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,-0.0124582869855395,1.39310344827586,0.484279537134183,-24,"None"
"3",1,3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,-0.0151279199110122,1.43448275862069,0.345825054016346,-32,"None"
"4",3,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-0.017797552836485,1.47586206896552,0.235622167317779,-40,"None"
"5",1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-0.00667408231368189,1.2367816091954,0.628995082802544,-15,"None"
"6",1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,-0.00845383759733039,1.26436781609196,0.49006684018532,-21,"None"
"7",1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,-0.0102335928809789,1.29195402298851,0.369578449197188,-27,"None"
"8",1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,-0.0120133481646274,1.31954022988506,0.26945260311324,-33,"None"
"9",2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,0.0313681868743048,0.880459770114943,0.855286655002042,-7,"None"
"10",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,0.0720800889877641,0.41609195402299,0.191405083405269,44,"None"
"11",1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,0.206896551724138,-0.940229885057469,0.060112880220829,69,"None"
"12",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,0.306117908787542,-1.87816091954023,0.0208195658674923,91,"Positive"
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,0.501446051167964,-3.90574712643678,0.000324063727387626,141,"Positive"
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,0.953503893214683,-8.37931034482758,8.01131198988025e-05,164,"Positive"
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,1.21690767519466,-10.7287356321839,2.48566381092119e-05,184,"Positive"
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,2.18620689655172,-20.2528735632184,6.44889680172517e-06,205,"Positive"
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,2.759510567297,-25.3057471264368,2.11571015376775e-06,223,"Positive"
"18",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,3.01713014460512,-26.832183908046,1.09348599565735e-06,236,"Positive"
"19",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,3.97085650723026,-35.3816091954023,3.10525153349164e-07,254,"Positive"
"20",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,5.98331479421579,-54.4413793103448,9.07409999999367e-08,271,"Positive"
"21",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,8.31123470522803,-75.9241379310344,2.73661203840945e-08,287,"Positive"
"22",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,11.6958843159066,-107.319540229885,8.54609706798132e-09,302,"Positive"
"23",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,15.6122358175751,-142.75632183908,2.77379119781675e-09,316,"Positive"
"24",1,1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,15.8042269187987,-137.965517241379,2.37097032711797e-09,321,"Positive"
"25",1,1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,23.8473859844271,-213.767816091954,8.5433310696383e-10,333,"Positive"
"26",1,1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,33.5995550611791,-303.859770114942,3.24095364743229e-10,344,"Positive"
"27",1,1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,47.8527252502781,-436.250574712643,1.30112082525217e-10,354,"Positive"
"28",1,1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,72.7757508342603,-672.790804597701,5.55873794693784e-11,363,"Positive"
"29",1,2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,107.783537263626,-1003.21149425287,2.54223506874637e-11,371,"Positive"
"30",2,1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,137.558843159066,-1264.92873563218,1.60473816775721e-11,376,"Positive"
"31",1,1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,183.241824249166,-1677.31494252873,2.75566562203903e-12,390,"Positive"
"32",1,1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,240.228921023359,-2186.04827586207,1.4498725659829e-12,396,"Positive"
"33",1,1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,288.222691879866,-2576.0183908046,1.08208978274088e-12,399,"Positive"
"34",1,1,1,1,8,7,23,19,33,77,53,166,116,75,188,365,439,633,759,234,1467,1833,2657,4494,6367,5995,8873,11238,10619,12082,340.930812013348,-2990.29425287356,6.86951410953885e-13,403,"Positive"
