"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","x_8","x_9","x_10","x_11","x_12","x_13","x_14","x_15","x_16","x_17","x_18","x_19","x_20","x_21","A","B","mk_pvalue","S","Class"
"1",0,0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,-0.0103609975235436,0.251607723134987,0.452500328574369,-16,"None"
"2",0,0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,-0.0141147270792529,0.292898748247789,0.29291225106991,-22,"None"
"3",0,1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,-0.0178684566349622,0.334189773360592,0.176293549680059,-28,"None"
"4",1.09861228866811,0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216221861906715,0.375480798473394,0.0983803501722191,-34,"None"
"5",0,0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00968145447969351,0.191817878763679,0.338692165878931,-17,"None"
"6",0,0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0120084148293403,0.217414442609794,0.231719704580291,-21,"None"
"7",0,0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143353751789872,0.243011006455909,0.151250389799926,-25,"None"
"8",0,0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016662335528634,0.268607570302024,0.0940683216584019,-29,"None"
"9",0.693147180559945,0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0189892958782808,0.294204134148139,0.0556834205680141,-33,"None"
"10",0,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,-0.0024122422126564,0.111856543826271,0.904804718192754,3,"None"
"11",0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,-0.00473920256230322,0.137453107672386,1,-1,"None"
"12",1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,-0.00706616291195005,0.163049671518501,0.810959700134834,-5,"None"
