"MKCD_SVM","SVM"
62497.5979900383,5114.95923772671
62498.3254268085,5179.71649999033
62499.2737615038,5196.50537613966
62500.3714614716,5169.45600855369
62501.8347707955,5218.59121244274
62504.0038389614,5359.55961963825
62507.021374347,5476.33726151173
62511.2510840431,5670.91879208831
62516.9284735877,5851.70567050108
62523.0449295106,5634.44039040635
62531.9630238856,6196.36049663687
62544.388317237,6819.29975755652
62561.8705965399,7586.83529990156
62587.8500930498,9158.98490116719
62625.9313981744,11240.5237869105
62675.1579288444,12092.4125425061
62741.1663019993,14279.5474448722
62828.663736273,16924.3157363586
62936.2840432009,17823.2392770746
63066.6745962274,18939.1146960568
63230.9198902515,22879.0522057079
63430.5022368829,25358.9009136796
63666.8519108677,27346.6361290391
63940.0224636831,28216.9354647618
64254.2678691019,29681.374369469
64617.0925737724,33144.9228369822
65038.180778173,38944.1369383427
65514.1098192583,41175.0393029525
66041.3923823507,41959.1554425718
66621.0219499184,42542.1614181306
67243.8310556472,40435.5504777595
67906.3302846982,38992.9874510085
68608.209406381,38617.3102028492
69346.0139174401,37855.967650847
70113.9468707524,39190.1874735561
70903.3994196901,39843.9569547106
71703.0070473812,37068.5166344822
72504.4793906117,35912.1614350342
73296.2276494483,34712.4436137886
74074.3243653477,33267.4883872165
74817.5359962236,29400.9733095084
75523.2190369216,29501.0706264298
76195.2093014935,31483.5200055573
76820.5148982177,30759.329081199
77400.0523261085,29535.9758070201
77933.1923704827,31478.2333740328
78405.3708659894,31102.7258508728
78810.969985442,33270.0933021459
79153.6691501115,34373.4365984967
22871.696087525,33589.7998560859
26967.484074965,33928.2023436385
24149.118159086,33159.2153413959
25071.8185952072,29103.4633690723
23254.674852155,27282.3399263597
25427.0185374491,27068.2563529543
25174.2163907864,27594.7741282291
25390.4820045743,30694.8261838064
23412.4434950996,30208.3156346888
25191.0047521929,29096.2590231817
23663.2749264507,27270.1628023392
22035.2618666153,27122.1118068976
23409.4591213692,25862.9945797376
22241.065235898,24625.6999385385
21475.0532584707,23816.2894572432
22049.8674188534,24526.0078072342
17902.5710358048,23025.8820966053
17786.9050845469,24058.0754547341
22043.0845296028,25660.6657920375
21408.1045618725,25637.5474326298
19735.195926281,27031.4155879787
18675.7855826119,24440.2816233316
19795.0841210964,24554.9785458992
18344.8915521803,23877.9106691265
18722.9288140749,23471.4387637404
18692.12228271,23477.5631097682
18852.5082413049,24454.645722087
17865.7190060164,24151.416729117
17002.457426257,24119.1352610793
17721.4155804283,22989.432090553
19132.7757569465,24505.9304311395
21042.5037431707,25343.4288153278
17795.0476853524,24620.8433648853
15811.8498005687,23191.5685095815
18767.4363568127,22153.4383553571
16013.1432721338,21144.3142624585
17691.8647707754,23513.3181970221
18411.8095658637,23637.0631566054
16431.0750373784,22473.8830772822
18789.0786593303,24103.1014512347
17066.2167953886,23725.1310814117
15000.0068982467,21687.5274958693
17966.8363286281,24049.9407534982
19469.2326648553,23918.0273972143
17714.0868173506,23370.9845052523
15186.018918602,24110.6252984238
16996.5714609872,22994.729315524
18940.2368948149,24814.9625148501
17303.198838485,25130.1231705901
18756.4510437911,24783.7114952078
19058.2308741466,25348.6878555165
19139.0098137676,26038.3498291383
16742.3802254539,24851.5544871954
19176.8683558529,26369.3854452942
38298.7020495512,28485.7747547667
41959.7852659498,29835.3608696493
41253.4602723715,31803.140239255
39392.7121476815,35223.449578566
75233.7995046402,34273.1680960738
75336.3387251665,37836.9115815462
75474.5666966352,42664.0878808544
75647.5899739965,43258.1734858295
75862.3012376043,44287.7071971445
76115.5061345094,48059.7502795654
76401.2977187047,46096.5692082387
76735.0490321688,48150.4364679847
77114.4048402886,50604.0678193669
77542.3798672418,51411.0276692518
78015.7643841914,55659.2111443581
78544.1424991786,60589.108153271
79113.1699639647,57222.6596825239
79708.0826840767,53818.6903168512
80356.0222268935,57540.0609942889
81023.7369584175,53459.3435202216
81735.8229253059,59206.8341931883
82483.7614019165,64342.2632387726
83263.5893741498,65177.4166117163
84076.0166019743,68084.2428254553
84904.0050231445,68510.3996084454
85753.6536463464,66913.3385647448
86609.5353796882,68879.0817187595
87472.3103026994,72129.2266531454
88338.1363115792,70033.0182728181
89208.4149421864,73051.250926693
90078.2005242929,74077.3734221156
90948.9180818748,70755.6373176439
91795.9415012191,69591.8068810953
92637.6707124636,70875.4496816465
93442.7004985479,67159.7589697145
94219.1632387236,69207.4851380656
94953.7509312671,68896.8244532713
95660.1168351813,66409.1564293251
96350.1844938801,66012.8936764297
96983.091519416,62064.4777415712
97589.8825191539,58846.9884340577
98146.1262036088,62321.2624266799
98661.156686316,65945.3638779229
99114.7974578627,62138.6150595737
99516.7642993148,63218.4557209313
99868.1807846931,61755.5355583246
100153.386293703,53449.2682020154
100369.592698581,51217.4599057564
48671.9753611059,52136.5017440021
48217.2604525142,48708.5780154298
47123.9414306625,50851.8289983061
46730.1645732098,50522.3214489638
52127.0221728191,50170.400052691
48145.9149001048,51670.7705082484
50980.8372435908,53103.4463361275
47490.444553265,45819.4140080587
48153.5059127529,46290.2006610375
45649.9349658355,42044.8380799945
46468.8691243699,48046.0638819395
43829.6296319163,47838.0148198439
42349.2399138951,46992.7408250536
45342.3575518746,43973.5462640628
46081.1281626049,44711.2470664711
38526.061406399,43442.5914500561
40221.7362907189,41986.6560114277
43646.2596460783,39419.1017782598
40792.3849488491,39224.3467332461
39488.015933743,37790.5268374271
33147.1412022268,37942.5785690585
34002.7149921306,38165.715004816
38252.2405288679,36998.8776227492
37022.6276929229,38602.15681927
36073.1954545864,36472.0391465935
35888.7258499915,39655.8531056772
37934.1592739311,43473.8654079373
38478.6556798155,44992.3048475991
33182.5098806159,42232.3743807631
39049.8448063387,41168.4701901074
37944.4804643792,40641.2145422266
36880.5264097735,44638.7498751413
38257.6205034325,44103.423137126
35803.6093024042,41486.1335849211
36546.177541474,33395.3567533523
32781.9091169463,29023.594879824
27024.5954386748,26409.1729922118
29626.5000893547,28229.294960611
29370.9235917301,31409.8946051543
35874.3831179401,37851.7369185447
33606.0029653537,40912.9952864461
30784.5013965073,44936.9854391001
35455.9325363784,44858.1715656873
34995.34262967,42923.5259911451
40098.9955921105,43486.0426999525
38833.9169433295,41655.7280552635
33059.8633281791,39381.3518288893
36217.0882482212,42685.4451892913
42429.7611993813,54492.6712790689
39294.4425776163,53410.6318368914
38065.3166628267,48700.9078050339
42982.3045270372,50023.310992896
43641.6183180371,47447.4282655907
45174.2264866339,45094.3518513886
45134.6481949351,44692.9948274275
85900.0633359099,37644.2363578894
85993.8533417217,37589.6006298851
86112.0384244904,39000.5754472364
86251.2606754157,39422.0840579972
86401.4583123777,44947.5704760892
86568.4624901611,50435.8705922649
86730.8568493302,47603.5250157888
86871.6511767056,46228.0590319089
87028.2583864458,49701.0244260152
87211.9787466718,53690.0973766534
87414.9845420306,57076.494815584
87634.5339331643,53512.2444281919
87873.255499512,53568.5182456999
88110.80924007,55014.5923504783
88308.041004865,55699.5910016555
88497.507621418,55378.0707614821
88716.8038748429,60912.8902232038
